date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_precipitation_above_threshold,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-06-01 00:00:00+00:00,151,13.321617126464844,-16.767120361328125,25.700209,28.220503,23.97216,4.6096983,5.78524,27.233583,76.43931,86.79851,61.40645,0.0,0.04985018,16.096331499999998,False,False,1,False,False,False,0.15014982000000002,27.233583
1950-06-02 00:00:00+00:00,152,13.321617126464844,-16.767120361328125,25.929838,28.727789,23.737675,4.423777,6.034587,27.853273,76.19243,87.55433,59.18348,0.0,0.049836308,16.232732,False,False,2,False,False,False,0.15016369200000002,27.853273
1950-06-03 00:00:00+00:00,153,13.321617126464844,-16.767120361328125,25.809462,28.285078,23.50319,4.6064963,6.529204,26.93126,74.94556,88.310165,56.960518,0.0,0.049822427,15.894134000000001,False,False,3,False,False,False,0.150177573,26.93126
1950-06-04 00:00:00+00:00,154,13.321617126464844,-16.767120361328125,26.08909,27.792362,24.668701,5.0653734,6.1261497,24.467012,74.69867,84.065994,60.737553,0.0,0.04980857,16.230531499999998,False,False,4,False,False,False,0.15019143000000001,24.467012
1950-06-05 00:00:00+00:00,155,13.321617126464844,-16.767120361328125,26.568718,28.999655,24.834217,4.4191356,6.294696,24.778215,74.45179,85.82182,58.51459,0.0,0.049794704,16.916936,False,False,5,False,False,False,0.15020529600000002,24.778215
1950-06-06 00:00:00+00:00,156,13.321617126464844,-16.767120361328125,26.798346,29.25694,25.09973,4.3255415,6.872627,22.827335,79.20492,87.57767,65.291626,0.0,0.050780818,17.178335,False,False,6,False,False,False,0.149219182,22.827335
1950-06-07 00:00:00+00:00,157,13.321617126464844,-16.767120361328125,25.87797,25.914228,25.365246,3.2200046,4.176137,16.248339,85.95804,94.333496,78.068665,0.87789124,0.05176694,15.639737,False,False,7,False,False,False,0.14823306000000003,16.248339
1950-06-08 00:00:00+00:00,158,13.321617126464844,-16.767120361328125,25.307596,25.971516,24.880758,1.5634444,2.212744,12.2390785,90.71117,98.08934,80.845695,0.7027803,0.052753083,15.426137,False,False,8,False,False,True,0.147246917,12.2390785
1950-06-09 00:00:00+00:00,159,13.321617126464844,-16.767120361328125,23.887224,25.928804,23.646275,3.5854397,4.67527,12.960524,97.46428,100.0,80.622734,13.449155,0.0737392,14.787539500000001,True,False,0,False,False,True,0.1262608,12.960524
1950-06-10 00:00:00+00:00,160,13.321617126464844,-16.767120361328125,22.96685,20.686092,23.911787,3.584149,4.1866655,4.217804,100.0,100.0,100.0,10.6426325,0.11072534,12.2989395,True,False,0,False,False,True,0.08927466,4.217804
