date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_precipitation_above_threshold,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-06-22 00:00:00+00:00,172,13.532513618469238,-14.25823974609375,27.897861,32.840054,22.954607,2.316367,3.5692458,25.18478,75.40678,98.634964,53.79222,0.08495079,0.33545786,17.897330500000002,False,False,1,False,False,False,0.0,25.18478
1950-06-23 00:00:00+00:00,173,13.532513618469238,-14.25823974609375,24.7057,26.508415,24.059645,2.484802,3.4209588,7.311361,97.337234,100.0,80.79217,13.092555,0.35329053,15.284030000000001,True,False,0,False,False,True,0.0,7.311361
1950-06-24 00:00:00+00:00,174,13.532513618469238,-14.25823974609375,27.963535,32.926777,23.714685,2.8194962,3.7395163,22.68335,75.2677,100.0,51.792118,0.085080154,0.34912318,18.320731000000002,False,False,1,False,False,False,0.0,22.68335
1950-06-25 00:00:00+00:00,175,13.532513618469238,-14.25823974609375,28.82137,33.595135,24.269724,2.9889448,4.6838927,24.208103,67.198166,89.169266,45.79207,0.08514157,0.33695582,18.932429499999998,False,False,2,False,False,False,0.0,24.208103
1950-06-26 00:00:00+00:00,176,13.532513618469238,-14.25823974609375,27.179205,31.363499,24.224764,3.1588037,5.1627793,19.708939,84.128624,100.0,60.792015,5.7084646,0.3327885,17.7941315,True,False,0,False,False,False,0.0,19.708939
1950-06-27 00:00:00+00:00,177,13.532513618469238,-14.25823974609375,25.23704,27.58186,23.379803,3.3290744,4.389491,13.9614725,88.05909,99.85879,70.79196,3.154562,0.33762112,15.4808315,False,False,0,False,False,False,0.0,13.9614725
1950-06-28 00:00:00+00:00,178,13.532513618469238,-14.25823974609375,23.294874,25.000221,23.034842,2.4998276,2.9846861,5.906031,97.98955,100.0,82.791916,6.739811,0.34845376,14.0175315,True,False,0,False,False,True,0.0,5.906031
1950-06-29 00:00:00+00:00,179,13.532513618469238,-14.25823974609375,26.55271,31.41858,22.589882,2.5028577,3.3056424,24.654646,74.92001,100.0,45.791866,0.34147173,0.34128642,17.004230999999997,False,False,1,False,False,False,0.0,24.654646
1950-06-30 00:00:00+00:00,180,13.532513618469238,-14.25823974609375,26.160545,31.036945,21.74492,2.1717768,2.3660388,20.757988,72.85048,89.3931,52.791813,0.2562604,0.33111906,16.390932499999998,False,False,2,False,False,False,0.0,20.757988
1950-07-01 00:00:00+00:00,181,13.532513618469238,-14.25823974609375,24.96838,27.555305,23.04996,1.8398918,3.0031762,13.979725,88.780945,100.0,71.79176,10.5983715,0.3389517,15.302632500000001,True,False,0,False,False,False,0.0,13.979725
1950-07-02 00:00:00+00:00,182,13.532513618469238,-14.25823974609375,26.976215,32.07367,21.704998,2.3445323,3.3261786,25.223833,74.71141,100.0,50.791714,0.0,0.34178436,16.889333999999998,False,False,1,False,False,False,0.0,25.223833
1950-07-03 00:00:00+00:00,183,13.532513618469238,-14.25823974609375,26.529133,29.232725,22.904835,3.6890128,4.4461718,17.11486,78.66901,98.979904,66.81534,7.44237,0.347417,16.068779999999997,True,False,0,False,False,False,0.0,17.11486
1950-07-04 00:00:00+00:00,184,13.532513618469238,-14.25823974609375,27.673857,31.176273,24.296001,3.1904624,3.9830213,19.498695,72.67185,88.96472,56.87843,0.08553061,0.3407161,17.736137,False,False,1,False,False,False,0.0,19.498695
1950-07-05 00:00:00+00:00,185,13.532513618469238,-14.25823974609375,26.918583,29.819828,24.137169,2.858686,3.5168335,18.327244,77.67468,90.94953,63.941517,0.17103416,0.3330152,16.9784985,False,False,2,False,False,False,0.0,18.327244
1950-07-06 00:00:00+00:00,186,13.532513618469238,-14.25823974609375,26.213306,30.413376,22.428337,2.3575885,3.0475533,21.375736,73.67751,88.93433,52.004604,0.0,0.32531437,16.4208565,False,False,3,False,False,False,0.0,21.375736
1950-07-07 00:00:00+00:00,187,13.532513618469238,-14.25823974609375,26.258034,30.656925,23.2695,2.1923544,3.3798537,23.460264,86.68036,98.91914,64.06769,5.5569143,0.32361352,16.9632125,True,False,0,False,False,False,0.0,23.460264
1950-07-08 00:00:00+00:00,188,13.532513618469238,-14.25823974609375,27.602757,32.35047,23.56067,2.3644385,3.391496,20.566195,71.68318,95.90395,49.13078,0.42739195,0.32191265,17.95557,False,False,1,False,False,False,0.0,20.566195
1950-07-09 00:00:00+00:00,189,13.532513618469238,-14.25823974609375,27.397484,32.744026,22.601835,2.02964,2.9170947,22.455885,69.68602,90.888756,51.19387,0.42733058,0.31221178,17.6729305,False,False,2,False,False,False,0.0,22.455885
1950-07-10 00:00:00+00:00,190,13.532513618469238,-14.25823974609375,26.492207,29.737577,23.493006,2.2020338,2.6020572,15.654926,79.68886,97.87357,61.256954,0.17090821,0.3065109,16.6152915,False,False,3,False,False,False,0.0,15.654926
1950-07-11 00:00:00+00:00,191,13.532513618469238,-14.25823974609375,26.63693,32.281128,22.83417,2.374963,4.243283,24.3159,78.69169,98.858376,52.320045,2.819598,0.30181003,17.557649,False,False,0,False,False,False,0.0,24.3159
1950-07-12 00:00:00+00:00,192,13.532513618469238,-14.25823974609375,26.081654,32.024677,22.775335,2.2086434,3.6032658,19.908453,85.69453,98.84319,55.38313,5.638439,0.30810916,17.400005999999998,True,False,0,False,False,False,0.0,19.908453
1950-07-13 00:00:00+00:00,193,13.532513618469238,-14.25823974609375,27.376379,31.418224,23.616505,1.8716902,2.9587233,18.079395,78.697365,98.827995,59.44622,0.0,0.30640835,17.5173645,False,False,1,False,False,False,0.0,18.079395
1950-07-14 00:00:00+00:00,194,13.532513618469238,-14.25823974609375,28.021103,31.511776,24.40767,2.7266264,3.2993906,18.725513,75.7002,98.812805,59.509308,0.42704353,0.29770744,17.959723,False,False,2,False,False,False,0.0,18.725513
1950-07-15 00:00:00+00:00,195,13.532513618469238,-14.25823974609375,28.715828,32.455326,24.798838,3.4135442,4.470468,24.402584,66.70303,85.79761,50.572395,0.0,0.2880066,18.627082,False,False,3,False,False,False,0.0,24.402584
1950-07-16 00:00:00+00:00,196,13.532513618469238,-14.25823974609375,27.210554,30.248875,23.740004,2.564144,3.3236756,16.029596,66.70587,90.78241,51.635483,0.25616246,0.27730572,16.9944395,False,False,4,False,False,False,0.0,16.029596
1950-07-17 00:00:00+00:00,197,13.532513618469238,-14.25823974609375,25.905277,30.342426,23.43117,2.5681689,3.502849,18.096748,80.7087,98.76723,53.69857,4.4396143,0.27860484,16.886798,False,False,0,False,False,False,0.0,18.096748
1950-07-18 00:00:00+00:00,198,13.532513618469238,-14.25823974609375,25.15,27.435972,23.022337,2.0577877,2.6788597,9.559115,81.71154,96.75203,67.76166,0.0,0.28990397,15.2291545,False,False,1,False,False,False,0.0,9.559115
1950-07-19 00:00:00+00:00,199,13.532513618469238,-14.25823974609375,27.494728,31.979523,22.963505,2.061073,3.3612614,22.217308,72.71438,93.73684,54.824745,1.1950022,0.2802031,17.471514,False,False,0,False,False,False,0.0,22.217308
1950-07-20 00:00:00+00:00,200,13.532513618469238,-14.25823974609375,26.73945,31.023071,23.50467,2.752522,3.542816,18.604372,82.71721,98.72165,59.887836,2.6457777,0.28150225,17.263870500000003,False,False,0,False,False,False,0.0,18.604372
1950-07-21 00:00:00+00:00,201,13.532513618469238,-14.25823974609375,25.334175,29.516628,23.495838,2.067744,2.879056,16.885927,93.72004,99.70646,68.95093,15.531556,0.30480137,16.506233,True,False,0,False,False,True,0.0,16.885927
1950-07-22 00:00:00+00:00,202,13.532513618469238,-14.25823974609375,25.2289,28.160173,22.887005,2.243725,3.2302923,13.7577,87.722885,99.69126,71.01401,0.7679606,0.3101005,15.523589000000001,False,False,1,False,False,False,0.0,13.7577
