date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-06-22 00:00:00+00:00,172,13.813708305358888,-15.38604736328125,26.623423,31.137049,23.286503,2.2920618,3.3661954,24.379406,85.38374,100.0,57.4659,1.8093127,0.39689696,17.211776,False,0,False,False,False,0.0,24.379406
1950-06-23 00:00:00+00:00,173,13.813708305358888,-15.38604736328125,25.748816,29.322664,23.602789,2.1511147,2.853669,15.084603,87.255844,100.0,62.4408,3.259173,0.39870214,16.462726500000002,False,0,False,False,False,0.0,15.084603
1950-06-24 00:00:00+00:00,174,13.813708305358888,-15.38604736328125,26.87421,30.358274,23.919079,2.871242,3.8986983,22.749287,75.12794,100.0,61.415695,0.0,0.39250734,17.138676500000003,False,1,False,False,False,0.0,22.749287
1950-06-25 00:00:00+00:00,175,13.813708305358888,-15.38604736328125,27.399605,32.24389,23.135363,2.7306275,3.3852577,25.773144,70.00004,94.05731,49.39059,0.0,0.3783126,17.689626500000003,False,2,False,False,False,0.0,25.773144
1950-06-26 00:00:00+00:00,176,13.813708305358888,-15.38604736328125,26.425,32.329502,21.801651,2.5897152,5.4788585,25.449131,78.87215,100.0,52.36549,6.7132573,0.37311777,17.0655765,False,0,False,False,False,0.0,25.449131
1950-06-27 00:00:00+00:00,177,13.813708305358888,-15.38604736328125,25.000395,27.115118,23.267937,2.8805916,3.7902155,16.096113,88.74425,100.0,70.340385,0.9077788,0.38792294,15.1915275,False,1,False,False,False,0.0,16.096113
1950-06-28 00:00:00+00:00,178,13.813708305358888,-15.38604736328125,23.075788,22.550732,23.134224,2.0186155,2.2260885,6.470262,100.0,100.0,99.31528,13.534289,0.40472817,12.842478,False,0,False,False,True,0.0,6.470262
1950-06-29 00:00:00+00:00,179,13.813708305358888,-15.38604736328125,25.451183,29.23635,22.350508,2.74255,3.6735144,24.578157,77.48844,100.0,52.290184,0.0,0.40553337,15.793429000000003,False,1,False,False,False,0.0,24.578157
1950-06-30 00:00:00+00:00,180,13.813708305358888,-15.38604736328125,25.276579,30.021963,20.016798,1.8785437,2.2346294,26.01666,70.360535,95.98865,48.265076,0.0,0.39333856,15.0193805,False,2,False,False,False,0.0,26.01666
1950-07-01 00:00:00+00:00,181,13.813708305358888,-15.38604736328125,25.651976,30.257578,23.183083,1.7359524,2.3706336,16.998486,78.232635,100.0,56.23997,3.2757254,0.38914376,16.7203305,False,0,False,False,False,0.0,16.998486
