date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-06-01 00:00:00+00:00,151,13.181018829345703,-16.326324462890625,28.450102,35.52168,24.5411,3.4752421,5.3826604,27.579002,65.34791,92.97908,34.689198,0.095366105,0.27274245,20.031390000000002,False,1,False,False,False,0.0,27.579002
1950-06-02 00:00:00+00:00,152,13.181018829345703,-16.326324462890625,28.358662,35.907692,22.508408,3.2718122,5.2283998,27.998648,65.17913,93.88277,33.61383,0.0,0.27403486,19.20805,False,2,False,False,False,0.0,27.998648
1950-06-03 00:00:00+00:00,153,13.181018829345703,-16.326324462890625,27.767221,35.493706,20.92572,3.2728126,5.24246,25.929272,61.01036,90.78646,31.538464,0.0,0.27532715,18.209713,False,3,False,False,False,0.0,25.929272
1950-06-04 00:00:00+00:00,154,13.181018829345703,-16.326324462890625,28.275785,34.62971,23.693033,3.2738194,5.087066,24.896553,63.84159,90.690155,35.463097,0.0,0.2766195,19.1613715,False,4,False,False,False,0.0,24.896553
1950-06-05 00:00:00+00:00,155,13.181018829345703,-16.326324462890625,29.334345,36.41573,25.310345,2.865477,5.6109824,24.486023,61.67282,87.59386,32.38773,0.095778815,0.27791184,20.863037500000004,False,5,False,False,False,0.0,24.486023
1950-06-06 00:00:00+00:00,156,13.181018829345703,-16.326324462890625,27.292908,33.501743,25.177656,2.4568863,3.9213715,18.160305,80.50404,96.49754,44.312363,9.299219,0.29620415,19.3396995,False,0,False,False,False,0.0,18.160305
1950-06-07 00:00:00+00:00,157,13.181018829345703,-16.326324462890625,24.951468,25.387758,25.894968,1.8432399,2.2225173,8.407167,96.33527,97.40123,78.237,4.509792,0.3204965,15.641362999999998,False,0,False,False,True,0.0,8.407167
1950-06-08 00:00:00+00:00,158,13.181018829345703,-16.326324462890625,25.110031,27.073772,25.912277,1.6389498,1.7143518,14.118345,97.166504,97.304924,73.16163,12.676422,0.32478887,16.4930245,False,0,False,False,True,0.0,14.118345
1950-06-09 00:00:00+00:00,159,13.181018829345703,-16.326324462890625,24.868593,26.709787,25.679592,2.6641328,3.2663157,10.59073,93.997734,97.20862,75.08626,0.6727702,0.32208118,16.1946895,False,1,False,False,True,0.0,10.59073
1950-06-10 00:00:00+00:00,160,13.181018829345703,-16.326324462890625,24.577156,23.595798,26.046902,2.4599798,2.4134805,5.71176,96.82896,97.11231,91.010895,1.9236571,0.31937352,14.821349999999999,False,0,False,False,True,0.0,5.71176
1950-06-11 00:00:00+00:00,161,13.181018829345703,-16.326324462890625,25.385717,26.531813,25.214212,2.0506363,2.766009,17.242393,92.66019,97.01601,76.935524,4.138847,0.32466587,15.873012500000002,False,0,False,False,True,0.0,17.242393
1950-06-12 00:00:00+00:00,162,13.181018829345703,-16.326324462890625,25.19428,26.76782,24.531525,1.6410344,1.5602732,14.232887,92.49141,96.91969,74.86016,3.0821912,0.32695824,15.649672500000001,False,0,False,False,True,0.0,14.232887
1950-06-13 00:00:00+00:00,163,13.181018829345703,-16.326324462890625,24.952843,25.453838,24.448837,1.6415627,1.7385589,19.11938,98.32264,96.823395,87.78479,19.17996,0.34125054,14.951337500000001,False,0,False,False,True,0.0,19.11938
1950-06-14 00:00:00+00:00,164,13.181018829345703,-16.326324462890625,26.211403,30.089848,25.11615,1.847356,2.266579,21.097761,93.15388,96.72708,63.709427,17.456034,0.3495429,17.602999,False,0,False,False,True,0.0,21.097761
1950-06-15 00:00:00+00:00,165,13.181018829345703,-16.326324462890625,26.669964,29.525867,26.383461,1.6426281,1.9233806,16.839935,89.9851,96.630775,67.63406,4.9215016,0.35383523,17.954664,False,0,False,False,False,0.0,16.839935
1950-06-16 00:00:00+00:00,166,13.181018829345703,-16.326324462890625,26.328527,31.111877,24.950771,1.8485608,2.1042902,21.521944,92.81633,96.53446,62.558693,25.297531,0.36212757,18.031323999999998,False,0,False,False,True,0.0,21.521944
1950-06-17 00:00:00+00:00,167,13.181018829345703,-16.326324462890625,25.987087,27.647892,25.268082,1.8491687,2.2862659,18.510477,96.64755,96.438156,82.48332,10.433728,0.3724199,16.457987,False,0,False,False,True,0.0,18.510477
1950-06-18 00:00:00+00:00,168,13.181018829345703,-16.326324462890625,27.595652,31.783909,26.085396,2.055311,2.4693198,22.986727,88.47879,96.34185,61.40796,5.992894,0.37571222,18.9346525,False,0,False,False,False,0.0,22.986727
1950-06-19 00:00:00+00:00,169,13.181018829345703,-16.326324462890625,27.004213,31.869919,24.102707,2.0559936,3.007263,25.90432,88.31001,96.24554,62.332592,4.1584687,0.37100458,17.986313,False,0,False,False,False,0.0,25.90432
1950-06-20 00:00:00+00:00,170,13.181018829345703,-16.326324462890625,25.762772,29.355932,23.820019,2.05668,2.4838812,20.290663,93.14124,96.14923,73.257225,11.804188,0.37529695,16.5879755,False,0,False,False,True,0.0,20.290663
1950-06-21 00:00:00+00:00,171,13.181018829345703,-16.326324462890625,25.421337,28.041943,24.08733,1.8516335,2.4912565,13.529895,92.97247,96.052925,72.181854,11.422508,0.38058925,16.0646365,False,0,False,False,True,0.0,13.529895
1950-06-22 00:00:00+00:00,172,13.181018829345703,-16.326324462890625,25.829897,29.027958,23.954641,1.8522584,2.3202174,25.295755,92.8037,95.95662,69.10649,7.9412494,0.38788158,16.4912995,False,0,False,False,True,0.0,25.295755
1950-06-23 00:00:00+00:00,173,13.181018829345703,-16.326324462890625,24.838459,25.063972,24.921951,1.8528869,2.5061998,11.036676,97.634926,95.86031,99.03113,18.989754,0.398174,14.9929615,False,0,False,False,True,0.0,11.036676
1950-06-24 00:00:00+00:00,174,13.181018829345703,-16.326324462890625,25.797024,29.249983,24.689268,2.0594654,2.6933248,16.454378,88.466156,95.76401,66.95575,10.274259,0.40546626,16.9696255,False,0,False,False,False,0.0,16.454378
1950-06-25 00:00:00+00:00,175,13.181018829345703,-16.326324462890625,26.305582,30.736,23.856575,2.4722056,3.6020095,27.290932,83.29738,95.6677,61.88039,0.0,0.3907586,17.2962875,False,1,False,False,False,0.0,27.290932
1950-06-26 00:00:00+00:00,176,13.181018829345703,-16.326324462890625,25.564146,30.572018,22.473886,2.0608814,2.529111,23.233541,90.12861,95.57138,63.805023,10.767411,0.39405096,16.522952,False,0,False,False,True,0.0,23.233541
1950-06-27 00:00:00+00:00,177,13.181018829345703,-16.326324462890625,24.372705,23.758026,25.3412,2.0615957,2.5368834,5.939909,96.95984,95.47508,99.72966,12.712253,0.41634327,14.549613,False,0,False,False,True,0.0,5.939909
1950-06-28 00:00:00+00:00,178,13.181018829345703,-16.326324462890625,24.63127,24.694042,25.458513,2.2685459,2.908258,8.130079,92.79107,95.37877,82.65429,2.5239568,0.4136356,15.0762775,False,0,False,False,True,0.0,8.130079
1950-06-29 00:00:00+00:00,179,13.181018829345703,-16.326324462890625,24.039827,24.280056,23.175821,2.2693405,3.0996318,16.576519,94.62229,95.28247,85.57892,5.729449,0.41392797,13.7279385,False,0,False,False,True,0.0,16.576519
1950-06-30 00:00:00+00:00,180,13.181018829345703,-16.326324462890625,24.298391,28.566067,20.643135,2.2701397,3.4751294,27.112309,83.453514,95.18615,62.503555,0.0,0.40622032,14.604601000000002,False,1,False,False,False,0.0,27.112309
1950-07-01 00:00:00+00:00,181,13.181018829345703,-16.326324462890625,25.056953,27.952082,22.910444,1.6515954,2.0182467,16.792559,88.28476,95.08985,67.42819,21.37829,0.41051263,15.431263000000001,False,0,False,False,False,0.0,16.792559
