filename,LAT,LON,temperature_score_1950_1969,gdd_score_1950_1969,precipitations_score_1950_1969,ext_precipitation_score_1950_1969,soil_moisture_score_1950_1969,wind_score_1950_1969,heat_stress_score_1950_1969,humidity_score_1950_1969,solar_radiation_score_1950_1969,season_start_shift_score_1950_1969,season_length_score_1950_1969,Final_Score_1950_1969,temperature_score_1970_1989,gdd_score_1970_1989,precipitations_score_1970_1989,ext_precipitation_score_1970_1989,soil_moisture_score_1970_1989,wind_score_1970_1989,heat_stress_score_1970_1989,humidity_score_1970_1989,solar_radiation_score_1970_1989,season_start_shift_score_1970_1989,season_length_score_1970_1989,Final_Score_1970_1989,temperature_score_1990_2009,gdd_score_1990_2009,precipitations_score_1990_2009,ext_precipitation_score_1990_2009,soil_moisture_score_1990_2009,wind_score_1990_2009,heat_stress_score_1990_2009,humidity_score_1990_2009,solar_radiation_score_1990_2009,season_start_shift_score_1990_2009,season_length_score_1990_2009,Final_Score_1990_2009,temperature_score_2010_2029,gdd_score_2010_2029,precipitations_score_2010_2029,ext_precipitation_score_2010_2029,soil_moisture_score_2010_2029,wind_score_2010_2029,heat_stress_score_2010_2029,humidity_score_2010_2029,solar_radiation_score_2010_2029,season_start_shift_score_2010_2029,season_length_score_2010_2029,Final_Score_2010_2029,temperature_score_2030_2050,gdd_score_2030_2050,precipitations_score_2030_2050,ext_precipitation_score_2030_2050,soil_moisture_score_2030_2050,wind_score_2030_2050,heat_stress_score_2030_2050,humidity_score_2030_2050,solar_radiation_score_2030_2050,season_start_shift_score_2030_2050,season_length_score_2030_2050,Final_Score_2030_2050
cmip6_era5_data_daily_52,13.251317977905272,-15.273712158203123,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.22727272727272727,0.0,0.34,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2281818181818182,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.2581818181818182,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.0,0.24363636363636362,0.0,0.84,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2736363636363636
cmip6_era5_data_daily_53,13.321617126464844,-14.21917724609375,0.0,0.17,0.5,0.0,0.0,0.0,0.0,0.84,0.0,1.0,0.0,0.22818181818181815,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.22818181818181815,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.24363636363636362,0.0,0.67,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.0,0.25909090909090904,0.17,1.0,0.67,0.0,0.0,0.0,0.17,0.67,0.0,0.67,0.0,0.3045454545454545
cmip6_era5_data_daily_54,13.602811813354492,-16.251129150390625,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2290909090909091,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.2290909090909091,0.0,0.34,0.84,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.24454545454545454,0.0,0.0,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.24363636363636362,0.0,0.5,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.2736363636363636
cmip6_era5_data_daily_55,13.743409156799316,-15.537200927734377,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.1981818181818182,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.24454545454545454,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.25909090909090904,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2745454545454545,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.3354545454545454
cmip6_era5_data_daily_56,13.321617126464844,-14.794525146484377,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.84,0.0,1.0,0.0,0.2127272727272727,0.0,0.34,0.67,0.0,0.17,0.0,0.0,0.67,0.0,0.67,0.0,0.2290909090909091,0.0,0.5,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.2736363636363636,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.22818181818181815,0.17,0.84,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.27454545454545454
cmip6_era5_data_daily_57,13.04042148590088,-16.132843017578125,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.84,0.0,0.2127272727272727,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.1827272727272727,0.0,0.34,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2281818181818182,0.0,0.34,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.24363636363636362,0.0,0.67,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.28909090909090907
cmip6_era5_data_daily_58,13.743409156799316,-15.289276123046877,0.0,0.17,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.21363636363636365,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.24454545454545454,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.25909090909090904,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.25909090909090904,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.3354545454545454
cmip6_era5_data_daily_59,13.391915321350098,-16.371124267578125,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2127272727272727,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2290909090909091,0.0,0.17,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.24363636363636362,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.2127272727272727,0.0,0.5,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.2736363636363636
cmip6_era5_data_daily_6,13.11072063446045,-16.229522705078125,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.15181818181818182,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.1981818181818182,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.34,0.0,0.67,0.0,0.18272727272727274,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.2127272727272727,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.17,0.2581818181818182
cmip6_era5_data_daily_60,13.673110961914062,-16.100921630859375,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2290909090909091,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.2290909090909091,0.0,0.34,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.26,0.0,0.17,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.25909090909090904,0.0,0.5,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.28909090909090907
