date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_precipitation_above_threshold,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days
1950-12-31 00:00:00+00:00,26.992024432903225,677.258171204,0.24072956000000004,1.943153362395699e-05,2677.9550045,3.8731751898457567,103.35121214039243,44,1,0,1,0,11.0
1951-12-31 00:00:00+00:00,27.220418543010755,713.536663904,0.6864047400000002,1.917602134763441e-05,2704.7578625,4.739331824500858,143.7682071995366,49,0,0,0,0,21.0
1952-12-31 00:00:00+00:00,26.69153624215054,1231.483404302,0.6690775700000002,1.7348333808129034e-05,2622.4993365,6.206764153914141,157.5464438322861,58,4,0,3,0,15.0
1953-12-31 00:00:00+00:00,27.57340386043011,576.337535141,1.0371044300000005,1.9956426928817206e-05,2769.4021695,4.823208667887906,149.00083025063734,40,0,0,1,0,19.0
1954-12-31 00:00:00+00:00,27.167336195698926,603.6885612020001,0.3845407100000002,1.9665030546451614e-05,2700.5300065,3.882086051241855,159.7873301769563,42,1,0,0,0,20.0
1955-12-31 00:00:00+00:00,26.906214281505374,682.08922449,0.6919830200000003,1.97335927972043e-05,2668.657874,5.17586958921331,171.9601647363485,52,1,0,1,0,28.0
1956-12-31 00:00:00+00:00,27.220084712473117,613.76560188,0.7107512000000002,2.008238392516129e-05,2708.524344,5.653661875427841,135.26134142071294,53,0,0,2,0,8.0
1957-12-31 00:00:00+00:00,27.737274768387095,442.57146462400004,0.9991949400000004,2.0089730445376345e-05,2788.652191,5.275599439425153,165.0168062338814,36,0,0,1,0,22.0
1958-12-31 00:00:00+00:00,26.99759431096774,589.553464824,0.3166649300000003,1.8973234962774192e-05,2673.0800065000003,3.4069801955907315,176.03124552806125,39,1,0,1,0,22.0
1959-12-31 00:00:00+00:00,27.899515311827958,482.70628294899996,0.9790443200000003,2.0387291814623653e-05,2812.6828555,6.743536614138821,151.9562604946193,37,0,0,1,0,48.0
1960-12-31 00:00:00+00:00,27.25234279268817,754.215312188,0.6536007900000003,1.9429577978e-05,2717.1743335,4.837351889628614,167.03472303289016,42,3,0,0,0,15.0
1961-12-31 00:00:00+00:00,27.48228564043011,539.166787161,1.0844788800000005,1.9834311677741935e-05,2765.9771650000002,6.5917948178543115,177.08303011644043,41,0,0,1,0,23.0
1962-12-31 00:00:00+00:00,27.462142677419354,435.788382169,1.0104922500000004,1.9996592611505376e-05,2733.0549969999997,5.588669411315434,143.80481736148832,36,0,0,1,0,30.0
1963-12-31 00:00:00+00:00,27.89068729483871,671.19776016,0.7259248100000002,2.0353317365311826e-05,2807.707887,5.513904644626289,170.94996469888642,45,1,0,2,0,29.0
1964-12-31 00:00:00+00:00,27.712385744301077,353.655958892,1.9733867700000007,2.0617208792903224e-05,2778.4993525,6.515549283547313,144.57883613165913,25,0,0,0,0,43.0
1965-12-31 00:00:00+00:00,27.032565202795702,668.829253688,0.9123019600000003,1.8413466444838708e-05,2670.4771634999997,6.288507162500448,152.14924881799442,34,2,0,1,0,15.0
1966-12-31 00:00:00+00:00,27.93950813268817,488.982321985,0.8884760700000005,2.026892508623656e-05,2819.0800025,5.936905460168656,176.5483282338032,39,0,0,2,0,19.0
1967-12-31 00:00:00+00:00,27.264020721505375,557.920215896,0.6186864400000003,1.9978972601849462e-05,2718.057868,3.9462079876033083,149.3167995697594,36,1,0,1,0,29.0
1968-12-31 00:00:00+00:00,28.19883738064516,496.68570449799995,1.2169166000000005,2.1030784241419354e-05,2853.224345,6.0652642944946935,182.02494448198766,35,1,0,0,0,15.0
1969-12-31 00:00:00+00:00,27.93916736688172,492.25896067499997,0.9069880500000003,1.9353540814193547e-05,2806.577164,5.495406961291297,153.12886327575214,36,0,0,0,0,21.0
1970-12-31 00:00:00+00:00,27.342239412688173,487.02269796400003,0.41857521000000014,2.0597226975483872e-05,2721.4300025000002,3.400765320850079,151.80726834905192,40,0,0,1,0,26.0
1971-12-31 00:00:00+00:00,26.833461612688172,647.262383343,0.9020122400000004,1.858696305483871e-05,2656.0078590000003,5.1469307499523715,143.28796007525378,50,0,0,3,0,28.0
1972-12-31 00:00:00+00:00,28.228794443440858,350.472674589,1.9186175100000005,2.115989745204301e-05,2857.699352,5.090146130625914,140.79369267315803,21,0,0,0,0,11.0
1973-12-31 00:00:00+00:00,27.981511419999997,510.93595282800004,0.7777450900000002,2.052618978752688e-05,2800.5771925,5.202494886915114,141.30492347879292,31,1,0,0,0,18.0
1974-12-31 00:00:00+00:00,27.677099504086023,531.3659851780001,1.2925591400000003,2.126199224804301e-05,2775.604997,6.661836461026037,188.1869294360831,33,0,0,0,0,27.0
1975-12-31 00:00:00+00:00,27.752117528817205,745.809338005,1.2822419300000005,2.0566589945376343e-05,2789.5078785,6.67863110658142,192.71566858824147,41,3,0,1,0,51.0
1976-12-31 00:00:00+00:00,27.136385768817206,585.302285252,0.8937779000000003,1.9688721459268817e-05,2701.024335,4.87785476547498,164.21608210950467,43,0,0,1,0,28.0
1977-12-31 00:00:00+00:00,27.83260813053763,469.590312621,0.6732843300000003,2.0739671028666666e-05,2797.5271795,3.4898290836718053,172.99685648483123,30,1,0,0,0,24.0
1978-12-31 00:00:00+00:00,26.945626441290322,889.798881264,0.7929830000000003,1.8812289203010754e-05,2669.9800095,4.8317772566029555,179.17543630671628,49,2,0,2,0,32.0
