date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.55600123032258,803.6187516460001,0.0,2931.3995534,2617.9339115000002,3.729436857222644,99.90004152996588,2,0,2,0,11.0,6,141
1951-12-31 00:00:00+00:00,26.712387716774195,929.482650145,0.0,2866.7039507,2634.165827,4.021381529079971,143.22766714355532,1,0,3,0,21.0,10,136
1952-12-31 00:00:00+00:00,26.253002796344088,1478.7918759200002,0.0,2627.3697602,2563.470162,5.72175311700013,156.03182270872287,6,0,3,0,15.0,15,137
1953-12-31 00:00:00+00:00,27.055862115268816,688.214733986,0.0,2984.6521095,2698.351998,4.329595936510513,146.3979380312095,1,0,2,0,23.0,11,139
1954-12-31 00:00:00+00:00,26.76149595311828,764.41835986,0.0,2944.20957892,2646.1088995,3.8548320664595486,173.7277685170193,1,0,1,0,15.0,6,138
1955-12-31 00:00:00+00:00,26.5066779027957,854.006141801,0.0,2938.8562451999996,2607.315818,5.13210001482837,172.88133006308144,2,0,3,0,24.0,7,124
1956-12-31 00:00:00+00:00,26.761959819139786,782.21436659,0.0,3008.1799642,2646.020145,5.268944144259312,137.52521291799755,1,0,2,0,8.0,9,146
1957-12-31 00:00:00+00:00,27.247087888602152,527.493091587,0.0,3001.6300410000003,2728.377012,4.142398043394194,167.91108667216923,0,0,2,0,22.0,18,131
1958-12-31 00:00:00+00:00,26.64007666451613,704.2797815670001,0.0,2844.7682287999996,2618.808896,3.263152981871181,181.44750225173857,1,0,1,0,21.0,6,131
1959-12-31 00:00:00+00:00,27.348441383870966,622.33404658,0.0,3050.6862965,2737.6658079999997,5.930209212325599,149.565570288255,0,0,2,0,23.0,27,111
1960-12-31 00:00:00+00:00,26.88974478408602,862.645390706,0.0,2909.9735158,2670.870127,4.749931607149657,169.53315264991403,4,0,2,0,27.0,12,125
1961-12-31 00:00:00+00:00,27.102313683870968,664.5754151269999,0.0,2985.1992468999997,2713.9270115,6.253921082715753,182.15692164669076,1,0,2,0,33.0,6,129
1962-12-31 00:00:00+00:00,26.957700141935483,517.786902174,0.0,3013.6610422999997,2669.4838985,4.9517322442163625,146.12754629888244,0,0,2,0,30.0,7,141
1963-12-31 00:00:00+00:00,27.402172532473116,740.4993833000001,0.0,3061.5770707,2744.5907935,4.983752529602373,175.7906980941544,2,0,2,0,27.0,17,113
1964-12-31 00:00:00+00:00,27.26728238107527,416.420241641,0.0,3089.8697972,2724.3451235,6.124490565715976,147.11578181294277,0,0,1,0,15.0,15,138
1965-12-31 00:00:00+00:00,26.50243196322581,749.379769889,0.0,2753.6632311000003,2594.5270165,5.736720634760398,146.89320432956418,2,0,1,0,13.0,13,137
1966-12-31 00:00:00+00:00,27.42164643870968,584.516947041,0.0,3029.5071257,2745.60887,5.281737205484063,170.82303168338117,0,0,2,0,26.0,18,126
1967-12-31 00:00:00+00:00,26.781731727096776,692.393071666,0.0,3016.776048,2656.5408155,3.399624455891196,152.69792811987017,1,0,1,0,29.0,14,138
1968-12-31 00:00:00+00:00,27.713045754408604,541.797368346,0.0,3167.5217062,2789.3701,5.337661617702731,188.26544991988916,1,0,1,0,30.0,27,132
1969-12-31 00:00:00+00:00,27.49543193655914,673.325696464,0.0,2902.2551211,2749.602004,5.403218087619147,159.010851034303,2,0,2,0,21.0,6,131
1970-12-31 00:00:00+00:00,26.965797073333334,595.33143236,0.0,3065.5706410000003,2673.3088884999997,3.2387005645148554,151.37386575513864,0,0,1,0,26.0,6,126
1971-12-31 00:00:00+00:00,26.392452189247315,750.058696694,0.0,2783.3432488,2594.440815,4.8084415765043635,142.26053424343556,0,0,3,0,28.0,6,146
1972-12-31 00:00:00+00:00,27.660766185161286,454.986141841,0.0,3190.9387687999997,2783.5201035,4.5530665423162295,140.5224773789016,0,0,1,0,11.0,10,146
1973-12-31 00:00:00+00:00,27.564905061505375,564.53150549,0.0,3096.4171509,2756.276989,5.278844950407045,139.64948930413993,1,0,0,0,19.0,10,131
1974-12-31 00:00:00+00:00,27.17058190408602,636.314310501,0.0,3191.1027735,2708.4838885,6.024563184178873,183.61966831482835,1,0,1,0,28.0,11,125
1975-12-31 00:00:00+00:00,27.164086432043014,876.543175775,0.0,3095.8017821,2715.540803,5.888996014624406,182.1484748231068,6,0,2,0,51.0,28,117
1976-12-31 00:00:00+00:00,26.70626082817204,684.58567732,0.0,2952.051858,2641.6451325,4.515263347598314,167.5787052888147,1,0,2,0,19.0,7,138
1977-12-31 00:00:00+00:00,27.449227714623657,595.7311344899999,0.0,3109.86730557,2755.8519635000002,2.962478974371002,189.00519005786768,1,0,1,0,24.0,9,126
1978-12-31 00:00:00+00:00,26.463087376344088,926.415319373,0.0,2825.9678350000004,2600.7089085,4.157503198985704,152.23504238373806,4,0,3,0,32.0,14,137
1979-12-31 00:00:00+00:00,26.829312213763444,781.76727266,0.0,2846.5661944000003,2653.1908144999998,4.418430190164413,144.0149581704707,2,0,4,0,26.0,16,137
1980-12-31 00:00:00+00:00,27.189142646236558,464.246742795,0.0,2968.0856035,2720.2701319999996,3.199718519149639,162.9272630408675,0,0,1,0,17.0,12,131
1981-12-31 00:00:00+00:00,28.107851270322577,466.318850398,0.0,3163.7661176,2843.8269875,5.096582197793419,187.49124397282105,1,0,1,0,29.0,19,118
1982-12-31 00:00:00+00:00,27.46082922817204,527.880627815,0.0,2969.5586614999997,2759.73389,5.727908418272118,164.87664143255637,0,0,2,0,48.0,21,128
1983-12-31 00:00:00+00:00,27.986828389247314,455.828499094,0.0,3105.4269525,2828.4157885,5.262869034069761,156.81000615821682,1,0,1,0,39.0,32,118
1984-12-31 00:00:00+00:00,26.590314584731182,715.538157336,0.0,2837.2199591,2613.4451255000004,2.1103787017257667,129.36668332343882,1,0,2,0,16.0,8,136
1985-12-31 00:00:00+00:00,26.91520607784946,837.959372315,0.0,2877.5521264999998,2682.3770084999996,5.5679302046165065,196.1241164411778,3,0,3,0,27.0,39,134
1986-12-31 00:00:00+00:00,27.41620560322581,516.78201373,0.0,3069.7107885,2734.3838875,3.8322552998095794,148.47343194788874,1,0,1,0,30.0,18,120
1987-12-31 00:00:00+00:00,28.037151035268817,652.957998824,0.0,3038.065826,2831.140791,6.9502232434750555,156.8570382550595,1,0,1,0,36.0,31,134
1988-12-31 00:00:00+00:00,28.11605653483871,379.728154826,0.0,3182.6925522,2855.2201015,5.817032575699028,142.5274335458401,0,0,0,0,15.0,6,145
1989-12-31 00:00:00+00:00,27.30543194365591,991.119270287,0.0,2946.8900155,2718.377,6.318280823968639,175.66332627242082,2,0,2,0,20.0,18,141
1990-12-31 00:00:00+00:00,27.120044314193546,710.775807846,0.0,2938.1335535,2700.7088995,1.5577097925036625,143.64938192843263,0,0,2,0,14.0,8,137
1991-12-31 00:00:00+00:00,27.707860704946235,482.933519854,0.0,3182.6266497,2782.540785,5.287351735676706,178.58771146305835,1,0,1,0,40.0,30,115
1992-12-31 00:00:00+00:00,26.955701715483873,681.55625593,0.0,2887.7828566,2672.0951395,2.705748677092863,156.16077209005107,2,0,2,0,15.0,8,138
1993-12-31 00:00:00+00:00,28.380786781075265,357.096292501,0.0,3164.1781845,2904.351957,4.201379036615154,163.27638083064508,0,0,0,0,21.0,14,134
1994-12-31 00:00:00+00:00,27.620581903440858,807.988753266,0.0,2864.1367351,2786.6588855,5.873640488087285,166.87012414705572,1,0,2,0,15.0,24,146
1995-12-31 00:00:00+00:00,27.990409178064517,704.617591175,0.0,3069.7159873,2859.040801,5.693047032992236,175.54473194889738,1,0,2,0,12.0,13,137
1996-12-31 00:00:00+00:00,28.07035759376344,823.663155376,0.0,3107.1097867,2840.170071,5.283385432597979,201.85393107298555,3,0,1,0,18.0,8,136
1997-12-31 00:00:00+00:00,28.589991115698922,351.710047092,0.0,3001.0108365,2926.5519595,2.3975473854104234,154.57621921739997,0,0,1,0,15.0,34,146
1998-12-31 00:00:00+00:00,28.48937768795699,443.17350129,0.0,3127.093682,2902.258857,4.880580549145208,158.53816370154522,1,0,1,0,13.0,13,135
1999-12-31 00:00:00+00:00,26.84957042731183,682.7022366690001,0.0,2814.5534946,2651.290836,2.980314314477456,139.39797984210085,0,0,1,0,15.0,6,137
2000-12-31 00:00:00+00:00,27.354895321720427,624.1590579040001,0.0,2983.7945724,2739.095109,3.0658702669131146,143.73502331427102,1,0,1,0,17.0,6,136
2001-12-31 00:00:00+00:00,27.85495894903226,715.042132752,0.0,2977.2043391,2820.701989,5.683105270760539,157.9495818276301,2,0,1,0,21.0,6,133
2002-12-31 00:00:00+00:00,28.019592644516127,482.42494253399997,0.0,3214.07105,2821.033872,4.282978326194591,153.69474056607925,1,0,0,0,38.0,19,123
2003-12-31 00:00:00+00:00,28.0456671772043,518.611964227,0.0,3067.8909071999997,2849.3657789999997,5.118086994493871,168.48984337735124,2,0,1,0,40.0,28,117
2004-12-31 00:00:00+00:00,27.548959767096772,704.717363796,0.0,2991.5192235,2759.820098,4.611726476371871,158.0686790577383,4,0,1,0,21.0,19,134
2005-12-31 00:00:00+00:00,27.307270703870966,975.0858838409999,0.0,2838.5136687,2725.3520120000003,3.201096964188046,155.9605973648347,3,0,1,0,14.0,9,137
2006-12-31 00:00:00+00:00,28.140108850107527,861.477399246,0.0,2959.2023134,2851.3088755,5.139400699837587,197.3240357022344,5,0,1,0,27.0,14,130
2007-12-31 00:00:00+00:00,27.727032748602152,890.423599301,0.0,3003.5909011,2792.615804,4.354347546369977,161.21589973348972,3,0,2,0,27.0,14,130
2008-12-31 00:00:00+00:00,27.55912103655914,865.461364185,0.0,2957.6510125,2781.520121,6.172044525442604,151.0413988709685,1,0,2,0,13.0,16,138
2009-12-31 00:00:00+00:00,27.81145343505376,912.919346392,0.0,2885.8099099,2818.0019775,4.97799704885538,177.1404944494727,3,0,3,0,44.0,32,118
2010-12-31 00:00:00+00:00,28.295807682795697,637.688341055,0.0,3028.7859599000003,2881.6338625,5.440486767107846,164.83490998781704,1,0,2,0,27.0,19,121
2011-12-31 00:00:00+00:00,27.17343057204301,843.096676425,0.0,2732.2159419,2721.715838,5.948898169468751,145.92873692469982,0,0,2,0,28.0,21,142
2012-12-31 00:00:00+00:00,27.306454475053762,754.765021979,0.0,2862.9561951,2726.6701325,4.242984709101475,154.97713292405797,2,0,2,0,13.0,13,134
2013-12-31 00:00:00+00:00,27.660335140430107,791.78198762,0.0,2814.1707585000004,2785.0770015,5.231909026846917,136.2023340922576,1,0,3,0,16.0,18,146
2014-12-31 00:00:00+00:00,28.217119628172043,712.6872115389999,0.0,2974.3810562,2856.3088835,7.527168228596344,183.7956946917076,3,0,1,0,21.0,21,121
2015-12-31 00:00:00+00:00,27.46536598387097,1122.541445984,0.0,2845.6973659,2760.6908185,4.466994398599473,163.59756414143837,3,0,2,0,12.0,6,134
2016-12-31 00:00:00+00:00,27.962884490967742,675.957287025,0.0,2889.6048031,2832.0451055000003,5.980084673110319,158.20744115243522,2,0,2,0,30.0,18,134
2017-12-31 00:00:00+00:00,27.774474919139784,743.736795202,0.0,2885.8927195,2806.8770015,6.115223433660671,170.60409947884457,2,0,2,0,17.0,7,134
2018-12-31 00:00:00+00:00,27.68527014086022,658.492327969,0.0,2968.3602812999998,2795.833878,4.267892785432912,145.30338893604232,0,0,2,0,24.0,23,141
2019-12-31 00:00:00+00:00,28.147892905591398,583.213610059,0.0,2958.1363629,2842.0907935,6.656101822049916,153.90068290065432,1,0,2,0,34.0,25,116
2020-12-31 00:00:00+00:00,27.633368359569893,820.798362418,0.0,2955.8550448,2769.6201185,4.031191295941172,146.73763163886994,1,0,0,0,22.0,6,134
2021-12-31 00:00:00+00:00,27.47363639741935,902.96836016,0.0,2780.5695074,2762.2020095,6.441395710598765,175.45388367356074,4,0,2,0,29.0,12,128
2022-12-31 00:00:00+00:00,27.679237724086022,900.518505175,0.0,2879.7139106,2784.8088715000004,5.009583061119195,183.78467497958013,2,0,2,0,47.0,29,124
2023-12-31 00:00:00+00:00,28.749075602150537,640.476009695,0.0,3107.3464857999998,2939.6407645,4.595984979595246,148.81256329985789,2,0,0,0,8.0,6,144
2024-12-31 00:00:00+00:00,28.22473395290323,711.201110884,0.0,3011.014189,2867.6450905,6.065831094019287,170.78579489399417,2,0,2,0,27.0,14,121
2025-12-31 00:00:00+00:00,28.120517918064515,584.98958641,0.0,2915.4562076,2851.676997,5.052199762118061,168.13586873051128,0,0,1,0,31.0,34,129
2026-12-31 00:00:00+00:00,27.454452811827956,850.915384034,0.0,2710.7789143,2753.1588975,3.8445116547799105,151.5161471339566,1,0,3,0,30.0,19,135
2027-12-31 00:00:00+00:00,28.250505872258067,588.98512695,0.0,3005.5553195,2859.9907885000002,5.717385487154128,167.15319319950018,1,0,1,0,38.0,26,113
2028-12-31 00:00:00+00:00,28.002346849892472,473.731230294,0.0,2903.6167291,2831.220096,4.217692187251776,160.92247035216627,0,0,2,0,33.0,14,127
2029-12-31 00:00:00+00:00,27.89836740731183,678.33933471,0.0,2979.4020775,2820.9019915,4.768474434628658,164.00368127325035,0,0,2,0,27.0,6,125
2030-12-31 00:00:00+00:00,27.789764751182798,880.53841968,0.0,2778.3734896,2809.6838825,3.261502049706016,151.59076071742132,2,0,2,0,30.0,8,146
2031-12-31 00:00:00+00:00,27.818107916344086,1389.531066126,0.0,2684.4584855000003,2819.7908305,7.0191159860478995,141.23560772174088,5,0,3,0,22.0,21,131
2032-12-31 00:00:00+00:00,28.399895115913978,756.60742427,0.0,2987.9361316,2888.8701015,6.386712765287328,174.6856776900622,3,0,1,0,31.0,8,120
2033-12-31 00:00:00+00:00,28.986700845161288,465.16758793599996,0.0,3057.5723337,2978.0269545,3.151511732554374,144.77161179194187,0,0,0,0,56.0,25,127
2034-12-31 00:00:00+00:00,29.1441949172043,540.185982295,0.0,3098.477401,3016.5838395,5.299137571448318,164.3269160847703,1,0,2,0,19.0,13,127
2035-12-31 00:00:00+00:00,28.264290811182796,843.44116747,0.0,2771.3633022,2876.9408065,6.358923274084932,195.288609406325,2,0,2,0,23.0,9,140
2036-12-31 00:00:00+00:00,28.43025002215054,730.171042612,0.0,2975.4149108,2892.4200965,4.74468276955305,160.39273135290986,2,0,1,0,24.0,13,133
2037-12-31 00:00:00+00:00,28.497313656344083,1061.7401407500001,0.0,2858.3581735,2900.951981,5.65066950807962,169.36282858251928,3,0,2,0,33.0,21,131
2038-12-31 00:00:00+00:00,28.772517099569892,671.824320503,0.0,3022.1792936,2952.108853,6.267879489664447,160.22689087181098,1,0,2,0,31.0,29,119
