date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_precipitation_above_threshold,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.623811179139786,774.99775578,1.0199684400000002,1.8166374708365595e-05,2614.386111,3.8921804198653285,94.4793464893399,58,0,0,2,0,10.0,6,142
1951-12-31 00:00:00+00:00,27.02039557956989,892.871070136,2.0605917280000003,1.8284630140774192e-05,2676.9061815,5.924811183642386,136.54515082967157,52,3,0,1,0,20.0,11,136
1952-12-31 00:00:00+00:00,26.527211580215056,1216.319649655,2.472882481,1.7026347991053765e-05,2594.5210275,6.861124001316653,161.40553800271977,57,5,0,3,0,15.0,6,137
1953-12-31 00:00:00+00:00,27.078322846451613,640.82255745,3.5424765870000003,1.8785611990860214e-05,2690.241114,5.096611330391113,138.93768172307355,44,1,0,2,0,11.0,8,141
1954-12-31 00:00:00+00:00,26.76662834516129,660.477775574,1.5111381940000002,1.8576690276301074e-05,2641.7611315,4.626600144482987,139.35736384543569,45,0,0,2,0,15.0,6,146
1955-12-31 00:00:00+00:00,26.630814961720432,743.966502593,2.621538177,1.910963007227957e-05,2624.7811899999997,5.3508415180532936,158.45396344198147,53,0,0,2,0,24.0,7,123
1956-12-31 00:00:00+00:00,26.96940509612903,826.0432498509999,2.8183874440000003,1.920677097191398e-05,2667.396015,6.469160568329625,124.23991490157452,60,1,0,3,0,9.0,6,146
1957-12-31 00:00:00+00:00,27.447903689247312,592.4361062190001,3.3893210140000005,1.9293501898387095e-05,2741.66611,6.814184893688345,150.52117508557563,43,1,0,1,0,22.0,17,131
1958-12-31 00:00:00+00:00,26.571746721720427,720.138140441,2.0449345640000005,1.797046233991398e-05,2613.611143,3.627346142874145,157.5007998756564,44,0,0,1,0,18.0,6,146
1959-12-31 00:00:00+00:00,27.484417150752687,584.992586882,3.4697122410000008,1.9326660845161292e-05,2748.956181,7.243221420519622,141.44708162795075,50,0,0,3,0,15.0,14,138
1960-12-31 00:00:00+00:00,26.82653405548387,814.5450903999999,1.5425941690000002,1.8314589292451612e-05,2646.446016,4.9743573863725095,149.19273789201495,54,1,0,2,0,15.0,6,137
1961-12-31 00:00:00+00:00,27.102430569032258,595.569882756,3.5343212760000005,1.912965178247312e-05,2699.0411025000003,7.02870037252161,160.87893847420546,47,0,0,2,0,19.0,6,130
1962-12-31 00:00:00+00:00,26.971563835698923,699.636255164,3.114934551,1.8666809793118277e-05,2659.3611339999998,5.486621379515808,153.66383798178208,47,1,0,2,0,7.0,6,146
1963-12-31 00:00:00+00:00,27.628492432473116,721.23079228,2.8485381860000003,1.9266653450752687e-05,2758.2812275,6.321613508078279,161.39530537853307,56,1,0,2,0,26.0,16,115
1964-12-31 00:00:00+00:00,27.263039623225808,491.61314842999997,3.1286465060000004,1.9769131875698922e-05,2703.2210315,7.342465017359859,152.73549506078749,31,0,0,0,0,15.0,14,138
1965-12-31 00:00:00+00:00,26.73090356408602,1003.5719091389999,2.7405162560000003,1.7446201658408602e-05,2615.9160835000002,6.909934778638703,160.26418346953534,44,4,0,2,0,16.0,10,138
1966-12-31 00:00:00+00:00,27.54417686,584.599905373,3.519949059000001,1.946661047507527e-05,2754.2111704999998,6.267911181014424,160.1791020873653,37,0,0,2,0,14.0,6,137
1967-12-31 00:00:00+00:00,26.93172897827957,660.119979342,3.7098020490000008,1.8851853717892474e-05,2670.8811855,5.194203437559581,136.83952952020172,46,0,0,2,0,13.0,13,139
1968-12-31 00:00:00+00:00,27.820706025376342,569.333932655,4.643706629,1.9979637614e-05,2802.6710525,7.053667458714926,158.5566046585857,37,1,0,1,0,15.0,12,133
1969-12-31 00:00:00+00:00,27.56602186150538,643.707664624,3.1067329420000003,1.8632399895913977e-05,2748.4661109999997,5.758496678774541,156.84983267703626,43,0,0,1,0,12.0,6,139
1970-12-31 00:00:00+00:00,27.076617671182795,504.355709941,3.0023363940000003,1.99025624572043e-05,2687.6861535,4.899510362311004,147.05457439424407,37,0,0,2,0,27.0,6,125
1971-12-31 00:00:00+00:00,26.507718171827957,780.56669891,3.2434799120000006,1.772865034387097e-05,2598.7811819999997,5.987353205634061,143.37583599856845,61,0,0,3,0,29.0,6,146
1972-12-31 00:00:00+00:00,27.7653943055914,494.979156754,2.6164332360000007,2.029271960645161e-05,2760.0960655,4.046962198379032,144.2818037290306,35,0,0,1,0,19.0,6,146
1973-12-31 00:00:00+00:00,27.694086287741936,676.7980375,2.1808594780000004,1.95954199855914e-05,2759.9911195,5.482279365157878,151.86076684178866,38,0,0,0,0,18.0,6,146
1974-12-31 00:00:00+00:00,27.436456348817206,640.125256876,3.434934514,2.0424538744086018e-05,2735.0361605,7.635036998072987,171.72280581939353,37,0,0,1,0,26.0,10,126
1975-12-31 00:00:00+00:00,27.2883096827957,727.197549436,3.7518472960000007,1.9498399417827956e-05,2712.8062055,7.852435350246302,179.7827787287171,36,3,0,2,0,34.0,16,135
1976-12-31 00:00:00+00:00,26.685222233763444,739.18197891,3.5677606490000007,1.8590623465311828e-05,2623.6960205,5.699424982404732,152.1113655523352,50,1,0,2,0,19.0,6,139
1977-12-31 00:00:00+00:00,27.292430563010754,556.55509509,1.2934242320000005,1.9889974028709677e-05,2710.9911205,4.309362129705339,139.1315895987832,45,1,0,1,0,21.0,9,130
1978-12-31 00:00:00+00:00,26.590800395268815,1141.5230420940002,2.855161174,1.7761575719892473e-05,2618.961143,5.124630274983428,186.91046113342972,50,3,0,3,0,27.0,10,140
1979-12-31 00:00:00+00:00,27.19576125333333,644.51337878,3.4918590600000003,1.8210681293204303e-05,2699.3561885,6.5875672806315135,144.83637366203155,53,0,0,2,0,15.0,18,136
1980-12-31 00:00:00+00:00,27.214888942150537,509.237355686,2.491285228,1.8675274337741936e-05,2691.87102,5.278822950980241,146.84051782754906,39,0,0,1,0,16.0,11,137
1981-12-31 00:00:00+00:00,27.994000515483872,572.016672652,3.3992196930000005,2.0097177361892474e-05,2817.8661215,5.062852618126264,176.1325753479273,31,2,0,1,0,20.0,8,131
1982-12-31 00:00:00+00:00,27.676370427526884,580.9855140989999,3.1967388760000004,1.9086566876989248e-05,2772.536147,7.377479603796716,150.06743603255285,44,0,0,2,0,29.0,21,129
1983-12-31 00:00:00+00:00,28.269600097634406,453.45785586700003,3.663703483000001,1.9894246348494626e-05,2862.106209,7.7091888521566245,159.5993178516567,31,0,0,1,0,22.0,32,129
1984-12-31 00:00:00+00:00,26.76164160408602,733.559017601,1.3221441530000002,1.8124999027956987e-05,2636.896036,3.3923861255022936,130.17121931530767,50,2,0,3,0,16.0,6,136
1985-12-31 00:00:00+00:00,27.14591435763441,667.086677013,4.746870362000001,1.8571258445096774e-05,2700.366095,7.85048271165375,183.8960949911365,48,0,0,3,0,28.0,14,139
