date,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_stress,is_humidity_above_threshold,is_wind_above_threshold,consecutive_dry_days,season_start_shift,season_length,temperature_2m_mean
1950-12-31 00:00:00+00:00,692.996640594,0.0,2181.694622,2095.6647199999998,4.2490694450159205,111.53381967446064,0,0,41,0,10.0,0,113,26.625769390243903
1951-12-31 00:00:00+00:00,759.684793175,0.0,2086.2562434,2102.3293885000003,3.498114226877315,165.01980581996654,2,1,38,0,11.0,0,111,26.621776788617886
1952-12-31 00:00:00+00:00,1499.164495359,0.0,1949.880789,2025.835275,4.305508862435184,168.49867207037147,7,6,55,3,15.0,0,108,26.09635605691057
1953-12-31 00:00:00+00:00,607.5128945499999,0.0,2202.1009005,2126.599976,2.921403811097575,155.02670498781495,1,2,40,0,11.0,0,107,26.818786056910568
1954-12-31 00:00:00+00:00,560.54303688,0.0,2108.5198527000002,2097.364708,3.8082898941849836,159.5087954476905,0,0,33,0,6.0,0,117,26.618858731707316
1955-12-31 00:00:00+00:00,745.163380576,0.0,2258.249663,2085.6794035000003,4.870362353451927,178.25140267520774,2,8,45,0,16.0,0,107,26.41120771544715
1956-12-31 00:00:00+00:00,730.185836025,0.0,2224.283807,2084.735275,1.9523953115423864,148.16697354575763,0,0,43,0,6.0,0,117,26.487819536585366
1957-12-31 00:00:00+00:00,610.61827796,0.0,2180.5887435,2140.0499689999997,3.4019886057200424,162.27160626796712,1,5,35,0,11.0,0,112,26.910655983739836
1958-12-31 00:00:00+00:00,689.6468774900001,0.0,2133.149597,2093.0147054999998,3.773167133614061,180.11181043654665,3,1,36,1,13.0,0,117,26.58267995121951
1959-12-31 00:00:00+00:00,569.393790431,0.0,2193.9988745,2142.629383,4.063705702201766,153.61942523119268,0,0,41,0,8.0,0,117,26.914459829268292
1960-12-31 00:00:00+00:00,845.7777627180001,0.0,2123.3446864,2115.4602965,5.147734332434481,173.78962999999797,3,1,43,0,15.0,0,108,26.77725025203252
1961-12-31 00:00:00+00:00,609.715571145,0.0,2255.8857102,2112.2749845,4.294433382709457,172.14709219383897,0,15,38,0,18.0,0,101,26.601713016260163
1962-12-31 00:00:00+00:00,715.079041714,0.0,2115.7302975000002,2090.1397079999997,2.8393028231070936,167.35528772683907,1,1,37,0,7.0,0,117,26.592842512195123
1963-12-31 00:00:00+00:00,708.988820066,0.0,2187.4981614999997,2157.979408,5.168089796742351,184.85248825844022,2,10,35,0,26.0,1,117,27.241289016260165
1964-12-31 00:00:00+00:00,449.327875956,0.0,2273.1640164,2103.2352855,4.960287379659191,172.2046262894819,0,2,22,0,9.0,0,117,26.752860138211382
1965-12-31 00:00:00+00:00,840.706804405,0.0,2030.3079407,2052.0249865,5.0519491365849225,171.34938274112153,3,1,36,0,10.0,0,113,26.359436536585363
1966-12-31 00:00:00+00:00,589.704202199,0.0,2240.7421475,2154.189735,4.605807852761829,179.1210177069611,0,9,40,0,15.0,0,108,27.107070162601627
1967-12-31 00:00:00+00:00,650.821318971,0.0,2141.9580806,2100.329389,2.491274962612009,151.73229223865948,1,1,38,0,16.0,0,117,26.589256650406504
1968-12-31 00:00:00+00:00,621.658960575,0.0,2254.0020329999998,2190.185315,4.485445539472748,172.70835120933245,1,17,32,0,15.0,0,108,27.297575414634146
1969-12-31 00:00:00+00:00,720.203044519,0.0,2169.4519005,2157.774986,3.3172173971054377,172.94103694709887,2,5,34,0,21.0,0,101,27.15130644715447
1970-12-31 00:00:00+00:00,494.430218754,0.0,2330.9493618,2131.1147335,2.714198441776522,171.10168507042997,0,10,26,0,26.0,0,97,26.787964455284552
1971-12-31 00:00:00+00:00,766.434754249,0.0,1971.1998168999999,2032.6543685,1.658565784092301,158.27091510038025,1,2,59,0,27.0,0,117,26.040882536585368
1972-12-31 00:00:00+00:00,472.29712822799996,0.0,2377.1853984,2214.585331,4.096877569235951,176.20751784120327,1,10,23,0,15.0,2,113,27.72765682926829
1973-12-31 00:00:00+00:00,635.283352016,0.0,2275.8926197,2187.2999865,4.770402086126483,171.6076684015724,2,1,26,0,11.0,0,117,27.452525918699187
1974-12-31 00:00:00+00:00,594.28937638,0.0,2327.6544837,2117.839722,3.3848200808125903,185.7593898427355,2,5,26,0,24.0,0,99,26.77048480487805
1975-12-31 00:00:00+00:00,662.4206841199999,0.0,2242.2223098,2105.2793985,4.1218274836726145,185.7060591502935,2,1,36,0,33.0,3,107,26.66120781300813
