date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_precipitation_above_threshold,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.238873166236562,1331.6597685,0.0,2762.7888192,2534.3927695,3.2547007548478684,102.005635477271,67,5,0,3,0,11.0,8,144
1951-12-31 00:00:00+00:00,26.377450322150537,2350.638419766,0.0,2570.1503106,2544.0463715,1.9755792622950399,151.90413574370578,76,11,0,4,0,15.0,11,141
1952-12-31 00:00:00+00:00,26.2546650688172,2057.961724619,0.0,2523.2131932,2537.085618,2.4581371243577426,162.49280585362158,77,12,0,4,0,14.0,15,138
1953-12-31 00:00:00+00:00,26.614704666666665,899.8883226739999,0.0,2907.5252266999996,2598.189221,1.9403121698478427,156.84412728778702,49,0,0,1,0,22.0,32,134
1954-12-31 00:00:00+00:00,26.49183008967742,901.643221325,0.0,2771.0547581,2577.0677594999997,2.988873285511256,168.9628804030721,52,3,0,1,0,23.0,12,140
1955-12-31 00:00:00+00:00,26.07937510688172,1474.5597179410001,0.0,2772.7895598,2520.346372,3.4299949295255794,164.6814136555399,65,3,0,2,0,20.0,7,136
1956-12-31 00:00:00+00:00,26.32362218236559,1339.944458196,0.0,2957.0949099,2545.2856,2.2010215269866014,146.65050563824855,71,3,0,3,0,11.0,6,146
1957-12-31 00:00:00+00:00,26.433769148602153,877.251427534,0.0,2933.4745842,2575.939214,2.5095638270476863,175.9853247807823,48,2,0,1,0,18.0,19,130
1958-12-31 00:00:00+00:00,26.380217328172044,1167.591986384,0.0,2748.7602014999998,2562.617768,1.9251765749183456,152.875674792225,60,4,0,1,0,13.0,6,139
1959-12-31 00:00:00+00:00,26.667289078064517,770.632153979,0.0,2892.1155816,2603.0463735000003,2.738016907617584,157.01471883283733,45,1,0,1,0,29.0,27,136
1960-12-31 00:00:00+00:00,26.351718896774194,913.654454055,0.0,2918.0201126,2575.6606035,1.9167709507818171,197.2086388704698,43,3,0,1,0,27.0,8,123
1961-12-31 00:00:00+00:00,26.518865935698926,1078.302856456,0.0,2860.3574444,2575.489233,3.2024927461404986,179.3997342175336,57,1,0,1,0,33.0,37,115
1962-12-31 00:00:00+00:00,26.228206516989246,800.8760504200001,0.0,2997.2469253,2541.5427635,2.3332448375136763,148.06329769801852,49,2,0,1,0,11.0,12,146
1963-12-31 00:00:00+00:00,26.888117015698924,853.185389811,0.0,3020.2480586,2643.2963825,2.2574618007817646,186.73567737998982,41,3,0,1,0,24.0,6,125
1964-12-31 00:00:00+00:00,26.326514530107527,771.869608795,0.0,3014.1269383,2560.2356115000002,2.998715894955199,162.52440386355144,38,3,0,0,0,39.0,15,137
1965-12-31 00:00:00+00:00,25.93261853311828,1546.964532335,0.0,2602.2148482000002,2492.9892185,3.8365071155932022,149.83034395741035,59,9,0,2,0,17.0,13,141
1966-12-31 00:00:00+00:00,26.856357011182798,945.573231328,0.0,2904.1193817,2634.1677885,3.0806209390956614,170.6766816436281,51,0,0,1,0,22.0,26,131
1967-12-31 00:00:00+00:00,26.44478362516129,955.720048898,0.0,2936.3309555,2574.5713695,2.5083210047416102,146.90476397525316,54,1,0,2,0,14.0,14,138
1968-12-31 00:00:00+00:00,26.719901738924733,737.963780404,0.0,3120.6694686,2612.4606245,2.1851485158398276,161.3826797028484,40,1,0,0,0,25.0,40,121
1969-12-31 00:00:00+00:00,26.918844391827957,868.0995603179999,0.0,2828.7229052000002,2636.5642225,3.1129055618345727,156.4809842392674,45,1,0,1,0,21.0,26,145
1970-12-31 00:00:00+00:00,26.720045242365593,640.724634282,0.0,3029.3744841,2629.892788,2.001350697468319,157.03048331143444,45,0,0,0,0,26.0,8,125
1971-12-31 00:00:00+00:00,26.133665423440856,1485.956025768,0.0,2625.3310719,2522.7963835,2.596864616871676,146.22378648113056,79,2,0,2,0,28.0,13,146
1972-12-31 00:00:00+00:00,26.847030691182795,778.491842249,0.0,3196.5638975,2629.7356090000003,2.445525855218618,146.19076102813176,36,4,0,0,0,17.0,6,146
1973-12-31 00:00:00+00:00,26.830607793978494,885.532473471,0.0,3013.2204979999997,2622.1892279999997,3.2277282846278426,159.33544273122823,36,2,0,1,0,15.0,10,138
1974-12-31 00:00:00+00:00,26.184088244946235,857.020561175,0.0,3118.5262185,2534.0677685,2.3331050620079345,191.2788182080989,45,1,0,1,0,24.0,12,125
1975-12-31 00:00:00+00:00,26.31853642344086,1178.448522116,0.0,2957.6794519,2551.1213825,2.5628406249170586,200.87113865607242,52,2,0,1,0,34.0,28,135
1976-12-31 00:00:00+00:00,26.16450385505376,1408.41068373,0.0,2895.2223236,2538.8856135,3.09146498769954,157.55908195743524,64,6,0,2,0,19.0,9,143
1977-12-31 00:00:00+00:00,26.900865910752685,604.949120819,0.0,3086.7721397,2650.6392215,1.6902899989983171,191.46048117636278,34,1,0,0,0,24.0,13,121
1978-12-31 00:00:00+00:00,26.208066772903226,1533.342540398,0.0,2558.4719373,2527.042766,2.06704819430706,156.7063640474411,67,3,0,3,0,39.0,15,137
1979-12-31 00:00:00+00:00,26.51865467075269,1596.79322109,0.0,2715.5925184,2576.1463705,2.9554119406538315,173.0026609266924,64,5,0,3,0,18.0,16,136
1980-12-31 00:00:00+00:00,26.760191983225802,687.999415319,0.0,2882.737383,2624.0356025,2.2839148826373914,172.01632156427408,38,1,0,1,0,19.0,18,134
1981-12-31 00:00:00+00:00,27.656253007741935,495.34502929999996,0.0,3087.8414202,2753.7642425,3.5316246100445294,185.31890565188823,29,1,0,0,0,29.0,19,133
1982-12-31 00:00:00+00:00,26.90822801182796,772.621302748,0.0,2886.9638299,2641.6927905000002,3.2137356141663296,156.03587394569246,48,0,0,1,0,25.0,28,128
1983-12-31 00:00:00+00:00,27.120902041720434,927.2118795700001,0.0,2963.9369119000003,2664.621368,2.781025133274729,156.4882360042841,47,3,0,0,0,39.0,33,119
1984-12-31 00:00:00+00:00,26.549364038709676,1063.444434395,0.0,2758.995,2595.835603,1.5972456045027048,166.19837958753712,57,3,0,1,0,16.0,11,132
1985-12-31 00:00:00+00:00,26.20447880645161,1252.513567951,0.0,2749.6618645,2535.989219,2.0798590115572035,182.8087716402878,59,5,0,2,0,30.0,34,132
1986-12-31 00:00:00+00:00,26.763249639999998,770.5491267799999,0.0,2942.4102033,2602.6177625,2.1360686017256625,148.47391899688822,40,1,0,0,0,25.0,18,131
1987-12-31 00:00:00+00:00,27.1127943855914,950.8916888050001,0.0,2885.1330236,2679.9963825,2.1686359519301877,172.10441562627872,53,3,0,1,0,31.0,34,135
1988-12-31 00:00:00+00:00,27.510277969892474,401.880664684,0.0,3244.8386418,2754.3606555,4.862145013723882,195.03356856516294,23,1,0,0,0,13.0,6,145
1989-12-31 00:00:00+00:00,26.80972611075269,1374.9217512789999,0.0,2767.8707289,2629.9392285,3.0913441576282126,178.31440091571736,50,6,0,2,0,25.0,18,116
1990-12-31 00:00:00+00:00,26.753443124946237,921.824428982,0.0,2852.2232093000002,2621.667789,2.6931130982084226,136.78174191540563,60,0,0,2,0,35.0,11,134
1991-12-31 00:00:00+00:00,26.56010633526882,617.185311674,0.0,3203.2215891,2597.221371,1.779954291856783,191.06490023149658,29,1,0,0,0,43.0,34,115
1992-12-31 00:00:00+00:00,26.32082650301075,1054.6463224939998,0.0,2863.9656105999998,2547.860595,2.9133735229052284,158.59391394269528,43,4,0,0,0,22.0,9,138
1993-12-31 00:00:00+00:00,27.382467950537638,569.098798558,0.0,3018.3310665,2713.3892365,2.2980596976084398,186.28506667385207,36,1,0,0,0,47.0,42,108
1994-12-31 00:00:00+00:00,27.054281792903225,865.8031076899999,0.0,2808.1529821,2669.6177749999997,2.6569399809378167,149.76626560487415,50,1,0,1,0,19.0,39,146
