date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_precipitation_above_threshold,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,27.10278849956989,714.527852372,0.11480287000000006,0.0027861905964999996,2683.945257,4.437014568759529,101.49710637338545,52,0,0,2,0,11.0,6,138
1951-12-31 00:00:00+00:00,27.433542985376345,888.629458162,0.24313511000000018,0.0027861586205,2735.9563749999998,6.303863819969595,151.81657782479218,50,2,0,2,0,21.0,14,136
1952-12-31 00:00:00+00:00,26.962796225376344,1447.077985405,0.1871839000000002,0.0025474355242,2654.772812,7.283930077656763,169.46810042466814,63,6,0,3,0,15.0,6,136
1953-12-31 00:00:00+00:00,27.67994820903226,620.8697232439999,0.1606479700000002,0.0028924843464,2778.3590365,5.658165072811202,143.75561138269967,42,1,0,2,0,16.0,8,136
1954-12-31 00:00:00+00:00,27.28516486193548,630.8679792319999,0.10360081000000007,0.002852054292,2711.120252,4.812177815661048,144.37451689871625,47,1,0,2,0,20.0,6,146
1955-12-31 00:00:00+00:00,27.046123466021506,726.593476229,0.1403541000000001,0.0029199351345,2687.2314079999996,5.5715147999704895,159.19712856512086,54,1,0,3,0,28.0,7,123
1956-12-31 00:00:00+00:00,27.5035489539785,704.158626224,0.14114359000000018,0.00293365439,2741.0728375,6.886734302698049,125.2689729882801,46,1,0,2,0,8.0,10,146
1957-12-31 00:00:00+00:00,27.99478700645161,571.623183604,0.2550232100000002,0.0029431488479999997,2815.609054,7.305219931192242,163.2477654322533,44,0,0,1,0,22.0,18,130
1958-12-31 00:00:00+00:00,27.027713255698927,718.564541412,0.04047104000000004,0.0027295900881,2672.245241,3.9610367074316386,167.51998410725804,44,1,0,2,0,22.0,6,130
1959-12-31 00:00:00+00:00,28.08632799376344,566.7240670250001,0.25222642000000023,0.0029647482605,2827.856412,7.918714211606676,145.22583086798798,43,0,0,2,0,35.0,14,138
1960-12-31 00:00:00+00:00,27.230581119354838,852.581019745,0.04098071000000003,0.0028063386585,2703.4478275,5.001814972992713,150.58927833250405,49,3,0,3,0,15.0,6,137
1961-12-31 00:00:00+00:00,27.574507505591395,582.732277675,0.15397291000000018,0.0028943827268,2757.3840455,7.668903865158479,162.89962836482636,50,0,0,2,0,22.0,6,129
1962-12-31 00:00:00+00:00,27.582423003870968,566.0372357599999,0.21328716000000023,0.0028504507235,2740.2952465,6.691911223307912,147.69424744126903,34,1,0,2,0,28.0,8,146
1963-12-31 00:00:00+00:00,28.118876271182796,685.897391017,0.2435612500000002,0.0029613517307,2826.2064095,6.697285854727167,162.60283491776246,50,1,0,2,0,27.0,16,114
1964-12-31 00:00:00+00:00,27.775764028387094,466.711085276,0.46293600000000035,0.0030101631973,2766.8728435,7.315425166307574,143.0509069123164,32,0,0,0,0,15.0,15,138
1965-12-31 00:00:00+00:00,27.183528776344087,888.03885467,0.21540023000000022,0.0026715941731,2685.9090345,7.085692975807921,153.02792199160234,42,2,0,1,0,16.0,10,138
1966-12-31 00:00:00+00:00,28.119616589032255,601.7243050440001,0.23471764000000017,0.0029702970999,2834.970271,6.781941439644318,173.97373160479972,39,1,0,2,0,15.0,10,137
1967-12-31 00:00:00+00:00,27.40798363290322,642.660569705,0.22253065000000014,0.0028899981565,2733.956415,5.311074341026701,137.10372650304387,47,0,0,1,0,28.0,13,139
1968-12-31 00:00:00+00:00,28.414538287956987,620.455397566,0.24321768000000024,0.0030557154482,2873.347869,7.368091811705795,177.69788509378702,33,2,0,1,0,15.0,10,137
1969-12-31 00:00:00+00:00,28.104141831827956,562.3194851000001,0.20160564000000022,0.0028373965873,2827.4340515,6.4416477803356536,158.36876263967147,33,1,0,0,0,21.0,6,131
1970-12-31 00:00:00+00:00,27.531272441505376,502.788112904,0.41903108000000017,0.0030215702855999997,2741.9952635,4.599531885296011,145.52202496585946,35,0,0,1,0,26.0,6,126
1971-12-31 00:00:00+00:00,27.049101827956985,714.711486785,0.14226429000000013,0.0027146898758,2678.956362,6.333743614850564,147.42795527252443,54,0,0,3,0,28.0,6,146
1972-12-31 00:00:00+00:00,28.418785460430108,435.091110685,0.8479030000000004,0.0030858209135,2867.222877,5.186595406245846,142.51473357244132,30,0,0,1,0,18.0,6,146
1973-12-31 00:00:00+00:00,28.170711755913977,606.3798943600001,0.15261057000000014,0.0029834396101,2817.2090565,5.569853799033164,146.8307119110287,35,1,0,0,0,18.0,8,134
1974-12-31 00:00:00+00:00,27.886444527096774,589.515407351,0.28674489000000025,0.003110470465,2787.9952705,7.9325110696393075,176.85825189097645,35,0,0,1,0,25.0,10,126
1975-12-31 00:00:00+00:00,27.92545684387097,673.5322021650001,0.2792135000000003,0.0029956081935,2802.256424,8.158597027030758,178.7953020756041,44,1,0,2,0,37.0,27,123
1976-12-31 00:00:00+00:00,27.22687149376344,812.764946786,0.12860626000000008,0.0028488873615,2702.797838,5.894129653266134,169.55379390262777,48,1,0,2,0,19.0,6,139
1977-12-31 00:00:00+00:00,27.809690191182796,540.432518364,0.18270319000000015,0.0030259302194,2779.6840325,4.59950128924119,147.56029270795693,39,0,0,0,0,20.0,8,130
1978-12-31 00:00:00+00:00,27.04075623483871,846.291437155,0.1840360600000002,0.0027158698823,2681.545251,5.434719708660984,163.50494454410693,51,3,0,2,0,27.0,10,140
1979-12-31 00:00:00+00:00,27.60328472903226,613.67255144,0.24680802000000018,0.0027784661546,2764.0564175,6.299977811728783,140.4472613623579,45,1,0,2,0,15.0,18,146
1980-12-31 00:00:00+00:00,27.718430680430107,475.65729881600004,0.22142631000000015,0.002886245378,2772.4228625,5.344399965799904,151.41866734253782,37,0,0,1,0,17.0,11,135
1981-12-31 00:00:00+00:00,28.61504499677419,460.535950276,0.5386544000000003,0.0030665610209,2897.534058,5.805093933118779,186.8178870537337,29,1,0,0,0,31.0,8,121
1982-12-31 00:00:00+00:00,28.190455324946235,575.893456606,0.28037422000000023,0.0028785099825,2839.9702555000003,7.628131564502309,152.3556928622238,44,0,0,2,0,52.0,21,129
1983-12-31 00:00:00+00:00,28.81303782236559,402.322764963,0.43430915000000037,0.0030191704896,2934.7314375,7.7147388122789815,155.20053503255417,31,1,0,0,0,29.0,32,118
1984-12-31 00:00:00+00:00,27.218344586451614,772.0553906600001,0.1509260100000001,0.0027707150269,2696.322847,3.4890357494379924,140.79001501726128,46,1,0,1,0,15.0,9,137
1985-12-31 00:00:00+00:00,27.669786899569893,630.8124714,0.2514970400000003,0.0028304592988,2779.609041,8.101798872828397,182.3161146984029,40,2,0,3,0,26.0,12,139
1986-12-31 00:00:00+00:00,28.275906879139786,518.935876825,0.22922303000000022,0.0029837315849,2846.470284,5.987856271958777,161.4335219666841,36,2,0,0,0,20.0,13,126
1987-12-31 00:00:00+00:00,28.716123749462366,619.21877438,0.2709786700000003,0.0029318586115000002,2925.8064130000002,9.566870291388982,158.36723566745783,41,1,0,2,0,28.0,16,142
1988-12-31 00:00:00+00:00,28.932409247096775,356.526675707,1.1080928300000004,0.0031069075341999997,2946.697871,6.958838134744606,152.58495150238954,23,0,0,0,0,18.0,17,144
1989-12-31 00:00:00+00:00,27.905195672688173,1131.828589904,0.2368307200000002,0.00282507471496,2790.9840544999997,8.122552453039763,195.83934276877153,45,4,0,2,0,20.0,12,126
1990-12-31 00:00:00+00:00,27.82976699827957,636.299053952,0.15061847000000023,0.0028474716991,2798.5702725,3.799383752111861,147.61573766438107,39,1,0,1,0,11.0,7,138
1991-12-31 00:00:00+00:00,28.45599456494624,452.361442948,0.5332592400000004,0.0030957023357,2870.8314245,7.578907660305116,169.33025982172623,26,0,0,0,0,26.0,29,126
1992-12-31 00:00:00+00:00,27.576140369892478,596.488502974,0.15792600000000012,0.0027804355147,2741.197845,4.624177791683743,139.77409547561942,37,2,0,1,0,22.0,8,139
1993-12-31 00:00:00+00:00,29.01904515419355,394.33866396200006,0.4191381300000004,0.0030610622687,2974.0090715,6.183254985252039,190.62735043477224,25,1,0,0,0,25.0,24,129
1994-12-31 00:00:00+00:00,28.205455337204302,849.927408965,0.2333827800000002,0.0027559180711,2847.7952635,7.545566353706493,175.24072793912612,38,1,0,2,0,17.0,6,146
1995-12-31 00:00:00+00:00,28.83026329827957,574.943443167,0.2366406400000002,0.0029977419475,2961.6814225,7.139673319793924,175.6040296260638,42,0,0,2,0,12.0,9,138
1996-12-31 00:00:00+00:00,28.755484499569896,699.32823719,0.15996738000000016,0.0030209911867,2928.4228545,7.0700506659372175,183.71378540579784,37,0,0,0,0,18.0,8,137
1997-12-31 00:00:00+00:00,29.16988382043011,423.863030197,0.21732843000000024,0.0028949217688,2975.9340819999998,5.081829982153658,150.66146016620903,21,1,0,1,0,19.0,6,146
1998-12-31 00:00:00+00:00,29.223917792258067,423.755963725,0.4070166900000003,0.0030120814195,2992.6952825,7.264812795478558,169.2390104914707,28,0,0,1,0,16.0,12,134
1999-12-31 00:00:00+00:00,27.281800798064516,659.902559199,0.0,0.0026841756675,2705.1063965000003,3.754565785013066,132.0569918304128,49,0,0,1,0,15.0,6,137
2000-12-31 00:00:00+00:00,27.908161692688175,599.796485841,0.11388249000000011,0.0028801703475,2808.797854,4.091080010305487,143.87132163602988,44,0,0,1,0,17.0,6,139
2001-12-31 00:00:00+00:00,28.38534622516129,757.901003089,0.1941120900000002,0.0028979580995,2883.234057,6.977516743157669,154.27195005718644,52,1,0,1,0,19.0,6,133
2002-12-31 00:00:00+00:00,28.77885320043011,433.460944049,0.9491138700000004,0.0031151050591,2906.695313,4.985119591487697,166.24400312059853,20,1,0,0,0,37.0,19,124
2003-12-31 00:00:00+00:00,28.83143543268817,468.62958887499997,0.2922972100000003,0.0029800598835,2942.6314199999997,6.989014988701444,168.5449540092233,33,0,0,0,0,39.0,24,119
2004-12-31 00:00:00+00:00,28.230355420215055,672.731955222,0.2347416600000002,0.0028980826154,2851.1728535,5.926820571502263,172.13818010748446,42,1,0,1,0,19.0,16,143
2005-12-31 00:00:00+00:00,27.959066554193548,922.5369378070001,0.15343903000000012,0.002738335385,2815.484047,4.412217442441916,158.92053243536722,52,3,0,1,0,14.0,8,138
2006-12-31 00:00:00+00:00,28.69379949139785,709.480588035,0.22222949000000014,0.0028251551742,2918.34527,6.935368560876706,180.35193113562593,38,2,0,1,0,27.0,14,130
2007-12-31 00:00:00+00:00,28.523220278494627,555.389247749,0.26716239000000025,0.0029501614351,2892.331411,6.571810094835126,167.8268295679791,37,0,0,2,0,27.0,22,127
