date,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_stress,is_humidity_above_threshold,is_wind_above_threshold,consecutive_dry_days,season_start_shift,season_length,temperature_2m_mean
1950-12-31 00:00:00+00:00,669.017370541,0.0,2214.6969227,2120.433688,4.302124778751127,113.72345902946334,1,0,40,0,12.0,0,111,26.764001861788618
1951-12-31 00:00:00+00:00,801.268084114,0.0,2143.4460375,2113.9068214999998,3.504602018564982,168.69425159836393,2,2,46,0,12.0,0,111,26.661192674796748
1952-12-31 00:00:00+00:00,1274.211868745,0.0,1933.0889045,2034.312374,4.14821394163321,177.29838455399263,6,5,64,0,15.0,0,108,26.04319704878049
1953-12-31 00:00:00+00:00,644.914456144,0.11809217000000016,2243.0788026,2135.1354965,2.6289833332194537,157.25446831437716,1,4,47,0,11.0,0,107,26.80949382926829
1954-12-31 00:00:00+00:00,582.481192644,0.0,2175.8785726,2117.0086905,3.771125687598724,174.3004085063535,1,2,38,0,12.0,0,117,26.71074963414634
1955-12-31 00:00:00+00:00,729.603478465,0.01618863000000001,2272.5785529,2100.2568155,4.984407408878125,181.52563726350698,2,8,43,0,28.0,0,95,26.48395694308943
1956-12-31 00:00:00+00:00,699.925796135,0.0,2250.3289072,2088.712364,1.6059361029022725,147.91955953558667,0,0,47,0,6.0,0,117,26.470839203252034
1957-12-31 00:00:00+00:00,526.7984937900001,0.07562384000000003,2236.4472960000003,2156.210491,3.087531864071515,167.05772558422322,0,7,37,0,11.0,0,111,26.997298788617886
1958-12-31 00:00:00+00:00,673.5940004260001,0.03896963000000003,2154.2592509,2107.9336860000003,3.7055818091986983,191.8888015972415,1,2,35,0,18.0,0,102,26.666034243902438
1959-12-31 00:00:00+00:00,574.6440004,0.0,2278.385863,2156.931822,3.9710969306883066,161.6225217746691,0,1,40,0,16.0,0,117,26.996965016260162
1960-12-31 00:00:00+00:00,760.555518205,0.026580450000000033,2189.1073552,2128.9123455,5.006235012561752,173.58433427786483,3,7,43,0,15.0,0,108,26.813115634146342
1961-12-31 00:00:00+00:00,602.24788844,0.1995006900000001,2266.8212399,2122.8104855,4.398595657503392,177.97960535756837,0,12,41,0,22.0,0,101,26.648111731707317
1962-12-31 00:00:00+00:00,592.87345153,0.02146727000000001,2212.727331,2105.5086979999996,2.569945317129999,157.5323052423465,1,1,41,0,8.0,0,117,26.664814796747965
1963-12-31 00:00:00+00:00,714.079408514,0.021734860000000022,2298.9586421,2181.306802,4.803118611912476,184.6910969352133,2,9,34,0,26.0,1,93,27.334769902439024
1964-12-31 00:00:00+00:00,455.225371655,0.12189896000000006,2310.2485846,2116.6123485,5.004797899292691,174.71174121440927,0,6,23,0,9.0,0,117,26.834253894308944
1965-12-31 00:00:00+00:00,983.627494545,0.0,2026.31622944,2062.435486,5.142042115849925,185.26504298955084,3,2,42,0,10.0,0,113,26.372501991869918
1966-12-31 00:00:00+00:00,583.710877384,0.15626891000000015,2271.6751784,2181.408665,4.756638958625487,194.69887882139665,1,13,37,0,15.0,0,107,27.229042455284553
1967-12-31 00:00:00+00:00,627.42612338,0.07544805000000004,2230.9320937,2126.5568165,2.781817080851044,152.94647560537038,0,1,45,0,16.0,0,117,26.69289999186992
1968-12-31 00:00:00+00:00,555.039790958,0.4195235900000002,2323.8749152,2210.1623225,4.208759273309705,169.0107549966628,2,16,33,0,15.0,0,108,27.420839219512192
1969-12-31 00:00:00+00:00,583.506099155,0.021262260000000005,2186.6731394,2172.43549,3.372096973545202,167.29213035298682,0,10,33,0,12.0,0,110,27.218030349593494
1970-12-31 00:00:00+00:00,454.961010484,0.2708562200000001,2372.3309336,2144.7586730000003,2.5860474194617833,177.6424819132413,0,12,29,0,25.0,0,97,26.853026325203253
1971-12-31 00:00:00+00:00,786.7456201589999,0.05352450000000003,2003.3682227,2051.9818395,1.512795436681057,154.63697333595107,1,2,57,0,26.0,0,117,26.100623487804878
1972-12-31 00:00:00+00:00,371.180284269,1.4219221410000003,2420.9928548,2239.7373345,4.70736211357846,172.32319859164284,0,22,24,0,18.0,3,117,27.851733585365853
1973-12-31 00:00:00+00:00,545.30663652,0.1838039300000001,2350.0406149,2198.0854685,5.149615597618922,178.8767677106177,1,8,28,0,18.0,0,105,27.550550902439024
1974-12-31 00:00:00+00:00,658.4092181890001,0.26169793000000013,2396.3695347,2136.48367,3.450995511364616,186.3855472562327,3,6,30,0,24.0,0,99,26.827416455284553
1975-12-31 00:00:00+00:00,731.129222271,0.21678886000000017,2317.4882555,2131.756807,4.335353148164773,201.60554582615205,4,4,38,0,34.0,8,108,26.81119269105691
1976-12-31 00:00:00+00:00,677.626213154,0.4133904500000002,2156.7252654,2102.9873565,4.369398457625154,175.4464637622589,1,7,47,0,15.0,0,110,26.548075040650406
1977-12-31 00:00:00+00:00,507.689729305,0.0087362,2380.2728614,2187.7604625,3.9651558594023038,175.14182930541656,0,2,23,0,20.0,0,102,27.276973585365855
1978-12-31 00:00:00+00:00,1135.52076432,0.0,2105.7265429999998,2077.558671,2.889743724490861,202.28442450403966,4,1,55,0,11.0,0,112,26.335140048780488
1979-12-31 00:00:00+00:00,648.110702748,0.06236339000000002,2147.7090781,2126.256821,3.6495859050687933,156.01488880866285,1,2,53,0,14.0,0,117,26.741680471544715
1980-12-31 00:00:00+00:00,482.6397547,0.030911570000000055,2248.1822351,2137.512345,3.2269705238131543,172.6750011968202,0,3,35,0,10.0,0,113,26.917993764227646
