date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.24462926215054,1296.935343294,0.0,2689.9198801000002,2577.82715,3.457351764681755,88.69562131570218,1,0,2,0,5.0,6,146
1951-12-31 00:00:00+00:00,26.478476015698924,1569.745218286,0.0,2606.4150162,2601.596986,2.5157259003272054,137.23499876297774,8,0,3,0,16.0,11,141
1952-12-31 00:00:00+00:00,26.43032325827957,1488.42156553,0.0,2480.0126216999997,2602.612544,4.074720986688721,160.807332345822,6,0,3,0,15.0,19,137
1953-12-31 00:00:00+00:00,26.833331089677422,932.48561682,0.0,2786.3144564000004,2683.5323315,3.5192481855912496,148.4708403124934,2,0,0,0,23.0,10,140
1954-12-31 00:00:00+00:00,26.487467946236556,905.694328042,0.0,2686.6118435,2623.9271465,3.598729975008806,152.29900556739955,2,0,1,0,14.0,6,146
1955-12-31 00:00:00+00:00,26.122551135268814,1298.084453448,0.0,2756.5854994,2559.8219825,3.5608183503795963,153.63237900755573,3,0,3,0,12.0,7,143
1956-12-31 00:00:00+00:00,26.514291032688174,1056.489832728,0.0,2882.0084742999998,2621.91252,3.812839322912135,133.94892123074325,2,0,2,0,10.0,6,146
1957-12-31 00:00:00+00:00,26.69327736451613,770.4396342690001,0.0,2802.2201926,2656.2323185,2.753153285765267,153.03362739752166,2,0,2,0,18.0,19,135
1958-12-31 00:00:00+00:00,26.38467227333333,989.5662969699999,0.0,2656.2538091,2597.4521575,2.5600504942738835,147.96343778456313,3,0,1,0,14.0,6,138
1959-12-31 00:00:00+00:00,26.815088840215054,827.75819935,0.0,2818.3579561,2680.3219805,4.039582944976347,141.24364757533482,0,0,2,0,16.0,27,146
1960-12-31 00:00:00+00:00,26.487613573118278,964.960577974,0.0,2865.0327264,2646.5125230000003,2.8542224035440875,166.47365545252111,3,0,1,0,15.0,8,136
1961-12-31 00:00:00+00:00,26.72504082043011,919.6258650359999,0.0,2814.6917805000003,2643.3323295,4.511072812992457,174.68710930989536,1,0,2,0,21.0,6,146
1962-12-31 00:00:00+00:00,26.44126372344086,834.8195594,0.0,2847.3699082,2609.7771545,3.498239057542181,142.80435447486585,1,0,2,0,7.0,12,146
1963-12-31 00:00:00+00:00,26.934981319139787,981.828282319,0.0,2933.3626014,2700.146981,3.1690860323459553,154.68070061361624,5,0,0,0,17.0,6,146
1964-12-31 00:00:00+00:00,26.452624334193548,756.802340144,0.0,2949.3359537,2614.23752,4.107185855500458,150.13175805140085,1,0,0,0,14.0,15,138
1965-12-31 00:00:00+00:00,26.08272893290323,1203.35427366,0.0,2557.419265,2551.157329,3.698931316807298,144.81207200583785,6,0,2,0,12.0,13,141
1966-12-31 00:00:00+00:00,27.035661553978496,828.0529970250001,0.0,2872.8666128,2704.727154,4.079728025357694,167.49028033924273,0,0,1,0,22.0,26,132
1967-12-31 00:00:00+00:00,26.487390007956993,1001.37748339,0.0,2831.9328482,2628.7969869999997,2.3088753594560782,142.6678845180895,2,0,0,0,14.0,14,138
1968-12-31 00:00:00+00:00,26.96858135032258,829.773689165,0.0,3070.8274235,2706.2125285,2.9442782793446027,155.93526692781177,1,0,0,0,13.0,25,141
1969-12-31 00:00:00+00:00,27.06054619591398,917.698378064,0.0,2785.3596258000002,2701.1823365,4.16724928126121,155.2231541871767,2,0,2,0,20.0,6,146
1970-12-31 00:00:00+00:00,26.71194115032258,705.3096297989999,0.0,2955.1245033,2678.6271645,2.863067376190861,157.93261195195953,0,0,0,0,19.0,6,132
1971-12-31 00:00:00+00:00,26.15477695354839,1143.32956829,0.0,2582.9217726,2561.1219794999997,3.311909820903837,143.10146951357297,2,0,3,0,21.0,6,146
