date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.80257163655914,883.870681106,0.03578030000000004,2725.8066159,2626.5477490000003,4.452525224578871,95.64635726475758,2,0,2,0,10.0,6,142
1951-12-31 00:00:00+00:00,27.359008982580644,814.313972194,0.05512349000000011,2743.5817264999996,2722.623684,6.885467242134023,153.78104950505173,2,0,1,0,20.0,10,136
1952-12-31 00:00:00+00:00,26.869589831612906,1416.713591979,0.012620290000000062,2558.0828578,2637.1209289999997,7.392999033098387,157.10281247057446,5,0,3,0,15.0,6,136
1953-12-31 00:00:00+00:00,27.31683344688172,684.071156826,0.024048890000000045,2797.6572837,2704.321843,4.99887230767186,135.94971208644017,1,0,2,0,16.0,6,136
1954-12-31 00:00:00+00:00,26.991614747096776,764.3414627950001,0.015018660000000045,2740.862729,2660.0477655,4.906905356375614,156.183621938195,1,0,0,0,19.0,6,146
1955-12-31 00:00:00+00:00,26.821030510967738,877.976775144,0.04605705000000007,2849.0914229,2648.6736755,5.610737128386456,155.15077591622747,1,0,2,0,16.0,7,135
1956-12-31 00:00:00+00:00,27.185407164946234,861.097246531,0.0,2895.5463831,2692.6959275,6.475281153481699,124.22906334686492,1,0,3,0,16.0,6,146
1957-12-31 00:00:00+00:00,27.77090850860215,634.51813943,0.0511375300000001,2879.0468695,2778.446841,7.769478550084494,153.13632921479044,1,0,1,0,19.0,16,134
1958-12-31 00:00:00+00:00,26.718948039139786,718.5229312089999,0.0,2682.7545615999998,2619.2477719999997,3.8920207503030517,157.9193606195123,1,0,1,0,13.0,6,146
1959-12-31 00:00:00+00:00,27.71903035526882,575.734458765,0.047131900000000115,2860.8347137,2776.4736780000003,7.986343103251829,139.58941585609097,0,0,2,0,8.0,14,146
1960-12-31 00:00:00+00:00,26.937095305591395,1012.2082890849999,0.009506500000000029,2680.7783979,2651.0709195,5.0247752657209075,149.62495165445563,5,0,2,0,15.0,6,137
1961-12-31 00:00:00+00:00,27.33515594752688,635.305736175,0.030533730000000064,2885.7452125,2715.871832,7.126954476840395,157.4656486103033,0,0,1,0,23.0,6,129
1962-12-31 00:00:00+00:00,27.139367425806448,744.782181242,0.03179148000000004,2733.1198812,2672.2227505,6.027581205782128,152.6483965068766,1,0,2,0,10.0,6,146
1963-12-31 00:00:00+00:00,27.778869251827956,879.173619114,0.04512092000000009,2830.8719931,2763.598668,7.056708944909521,165.44751219332727,3,0,2,0,21.0,15,146
1964-12-31 00:00:00+00:00,27.486847917419357,496.91020036099997,0.047648180000000095,2944.4940505,2726.8709015,7.492996813828584,145.40745784727397,0,0,0,0,14.0,14,139
1965-12-31 00:00:00+00:00,26.981102215913978,741.347806933,0.047087590000000096,2660.9986691,2647.821847,6.904380136868432,145.25053153620883,0,0,1,0,11.0,10,140
1966-12-31 00:00:00+00:00,27.72942111763441,600.118106344,0.03456153000000006,2910.191726,2771.947737,6.57637075876499,156.36534123601928,0,0,2,0,15.0,6,137
1967-12-31 00:00:00+00:00,27.1197402544086,675.935899226,0.049151240000000124,2778.1451816,2669.3236779999997,5.453876952920684,138.4918217709834,1,0,2,0,26.0,13,141
1968-12-31 00:00:00+00:00,27.896966199354843,722.687297264,0.04764450000000006,2962.9281331,2800.570885,7.2175050556778055,164.85392008399552,1,0,1,0,15.0,10,134
1969-12-31 00:00:00+00:00,27.74758594989247,719.189879981,0.0,2787.0412495,2759.0218285,5.967960392816296,154.4078483291891,1,0,0,0,21.0,6,130
1970-12-31 00:00:00+00:00,27.403732880215053,524.072654756,0.03898207000000006,2935.5027,2732.697748,6.060643598513297,152.1424832400163,1,0,1,0,26.0,6,126
1971-12-31 00:00:00+00:00,26.77898753139785,777.528934798,0.02204355000000005,2663.0308372,2630.973699,6.867336491015993,144.89272588748463,1,0,3,0,28.0,6,146
1972-12-31 00:00:00+00:00,28.025697436559135,638.318253868,0.008309650000000057,3036.6306465,2800.3458665000003,4.695393267326016,153.8669201045986,1,0,0,0,17.0,6,142
